Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,21/25,17/18,4/7,-,-,-
2024,8/9,4/6,4/3,-,-,-
2023,11/13,11/11,0/2,-,-,-
2022,2/1,2/1,-,-,-,-
2021,0/2,-,0/2,-,-,-
