Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
04.08.,Shelbayh A.,2,,,,,,6,1,69%,74% (34/46),57% (12/21),80% (4/5),31% (12/39),54% (14/26),75% (3/4),15,26,100% (7/7),69% (46/67),40% (26/65),55% (72/132),5,0,91% (10/11),27% (3/11),59% (13/22),"['6', '5']","['1', '0', '3', '2']",[],[],[],1.36
04.08.,Rossi L.,0,,,,,,5,5,60%,69% (27/39),46% (12/26),25% (1/4),26% (12/46),43% (9/21),20% (1/5),17,30,88% (7/8),60% (39/65),31% (21/67),45% (60/132),5,1,73% (8/11),9% (1/11),41% (9/22),[],"['1', '1']",[],[],[],2.99
03.08.,Rossi L.,2,,,,,,2,2,64%,73% (30/41),65% (15/23),50% (1/2),35% (12/34),39% (14/36),33% (3/9),12,30,45% (5/11),70% (45/64),37% (26/70),53% (71/134),7,0,91% (10/11),27% (3/11),59% (13/22),"['2', '1']","['1', '2', '6', '5']",[],[],[],2.94
03.08.,Malige M.,0,,,,,,1,5,49%,65% (22/34),61% (22/36),67% (6/9),27% (11/41),35% (8/23),50% (1/2),14,38,89% (8/9),63% (44/70),30% (19/64),47% (63/134),3,0,73% (8/11),9% (1/11),41% (9/22),[],"['2', '0']",[],[],[],1.37
28.07.,McKennon M.,2,,,,,,4,1,73%,72% (21/29),73% (8/11),0% (0/0),45% (17/38),72% (18/25),42% (5/12),14,11,100% (4/4),73% (29/40),56% (35/63),62% (64/103),5,0,100% (7/7),63% (5/8),80% (12/15),"['2', '1', '4', '1', '6', '1']","['4', '2', '6', '2']",[],[],[],1.55
28.07.,Rossi L.,0,,,,,,3,9,60%,55% (21/38),28% (7/25),58% (7/12),28% (8/29),27% (3/11),0% (0/0),11,33,33% (1/3),44% (28/63),28% (11/40),38% (39/103),5,1,38% (3/8),0% (0/7),20% (3/15),[],[],[],[],[],2.36
27.07.,Rossi L.,2,,,,,,5,3,59%,55% (24/44),42% (13/31),44% (4/9),44% (16/36),84% (21/25),41% (7/17),19,33,62% (8/13),49% (37/75),61% (37/61),54% (74/136),6,0,50% (5/10),78% (7/9),63% (12/19),"['1', '1', '3', '1', '5', '3']","['1', '0', '2', '3', '3', '4', '5', '4']",[],[],[],2.36
27.07.,Ursu V.,0,,,,,,3,6,59%,56% (20/36),16% (4/25),59% (10/17),45% (20/44),58% (18/31),56% (5/9),13,29,55% (6/11),39% (24/61),51% (38/75),46% (62/136),4,4,22% (2/9),50% (5/10),37% (7/19),"['1', '0', '2', '3']","['1', '1', '3', '1', '4', '2']",[],[],[],1.55
23.07.,Forcano I.,2,,,,,,"['1', '0', '2', '1', '5', '4', '6', '5']","['1', '0', '3', '0']","['1', '0', '3', '0', '5', '0']",[],[],3.32
23.07.,Rossi L.,1,,,,,,"['1', '1', '4', '4', '5', '5']","['1', '3', '3', '3', '6', '4']",[],[],[],1.29
16.07.,McKennon M.,2,,,,,,"['2', '0', '5', '5']","['1', '0']",[],[],[],1.71
16.07.,Rossi L.,0,,,,,,"['1', '2', '4', '3']",[],[],[],[],2.01
08.07.,Maxted L.,2,,,,,,2,2,64%,77% (23/30),65% (11/17),0% (0/1),36% (12/33),64% (9/14),100% (4/4),72% (34/47),45% (21/47),59% (55/94),8,0,89% (8/9),44% (4/9),67% (12/18),"['2', '2', '6', '4']","['3', '1', '6', '2']",[],[],[],1.25
08.07.,Rossi L.,0,,,,,,7,3,70%,64% (21/33),36% (5/14),0% (0/4),23% (7/30),35% (6/17),100% (1/1),55% (26/47),28% (13/47),41% (39/94),2,0,56% (5/9),11% (1/9),33% (6/18),"['1', '0']",[],[],[],[],3.38
03.07.,Hussey G.,2,,,,,,"['3', '2']","['1', '1', '2', '2', '5', '3']",[],[],[],1.20
03.07.,Rossi L.,0,,,,,,"['4', '4']","['1', '0', '2', '1']",[],[],[],4.13
01.07.,Rossi L.,2,,,,,,"['2', '3', '6', '5']","['1', '0', '3', '2', '6', '3']",[],[],[],1.28
01.07.,Zhu M.,0,,,,,,"['2', '0']","['1', '1']",[],[],[],3.40
17.06.,Potenza L.,2,,,,,,[],"['2', '0', '5', '1']","['3', '4', '6', '5']",[],[],1.48
17.06.,Rossi L.,1,,,,,,[],"['2', '5']","['3', '1']",[],[],2.50
11.06.,Duran T.,2,,,,,,"['1', '0', '4', '1', '6', '1']","['4', '2', '6', '2']",[],[],[],1.64
11.06.,Rossi L.,0,,,,,,[],[],[],[],[],2.15
08.06.,Rossi L.,2,,,,,,[],"['3', '1', '5', '5']","['2', '1', '4', '1', '6', '1']",[],[],2.73
08.06.,Erel Y.,1,,,,,,"['1', '0', '5', '2']","['2', '3', '4', '3']",[],[],[],1.41
07.06.,Rossi L.,2,,,,,,"['2', '0', '4', '2', '6', '2']","['1', '1', '4', '2', '5', '3']",[],[],[],1.67
07.06.,Pascual Ferra R.,0,,,,,,"['2', '3']","['1', '0', '3', '4']",[],[],[],2.10
06.06.,Rossi L.,2,,,,,,"['2', '0']","['2', '1', '4', '1', '6', '1']",[],[],[],1.90
06.06.,Fernandez Flores D.,0,,,,,,[],[],[],[],[],1.80
05.06.,Rossi L.,2,,,,,,"['1', '0', '3', '0', '6', '3']","['2', '0', '6', '4']",[],[],[],1.26
05.06.,Sahtali T.,0,,,,,,"['2', '4']","['4', '5']",[],[],[],3.54
04.06.,Rossi L.,2,,,,,,"['3', '1', '5', '1']","['1', '0']",[],[],[],1.09
04.06.,Nortey I.,0,,,,,,[],[],[],[],[],6.15
23.05.,Ghibaudo A.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '3', '2']",[],[],[],1.37
23.05.,Rossi L.,0,,,,,,[],"['1', '1']",[],[],[],2.89
20.05.,Rossi L.,2,,,,,,"['1', '1', '3', '1', '5', '1']","['1', '0', '3', '2', '5', '2']",[],[],[],1.18
20.05.,Host T.,0,,,,,,"['1', '0']","['1', '1']",[],[],[],4.47
14.05.,Moraing O.,2,,,,,,"['1', '0', '3', '0', '5', '2']","['2', '1', '5', '2', '6', '5']",[],[],[],2.33
14.05.,Rossi L.,0,,,,,,"['1', '3']","['3', '5', '5', '5']",[],[],[],1.55
09.05.,Hussey G.,2,,,,,,"['2', '1']","['1', '0', '4', '3']",[],[],[],1.17
09.05.,Rossi L.,0,,,,,,[],"['2', '2']",[],[],[],4.52
08.05.,Rossi L.,2,,,,,,"['1', '1', '3', '1', '6', '6']","['1', '0', '4', '1', '6', '3']",[],[],[],4.32
08.05.,Stewart H.,0,,,,,,"['1', '0', '2', '3', '6', '5']","['3', '5']",[],[],[],1.19
07.05.,Rossi L.,2,,,,,,[],[],"['2', '1', '5', '2']",[],[],7.80
07.05.,Loffhagen G.,1,,,,,,"['3', '2']",[],[],[],[],1.05
04.04.,Pieczkowski O.,0,,,,,,[],[],[],[],[],1.53
04.04.,Rossi L.,0,,,,,,[],[],[],[],[],2.37
03.04.,Rossi L.,2,,,,,,"['5', '3', '6', '4']","['2', '0']","['6', '5']",[],[],1.32
03.04.,Longwe-Smit T.,1,,,,,,"['4', '5']","['2', '3']",[],[],[],3.14
02.04.,Rossi L.,2,,,,,,[],"['1', '1', '6', '4']","['4', '2', '5', '3']",[],[],1.12
02.04.,Loureiro J. V. C.,1,,,,,,"['1', '0', '5', '4']","['1', '0']","['3', '4', '4', '5']",[],[],5.30
26.03.,Jones M.,2,,,,,,"['1', '0', '4', '1']","['1', '0', '3', '0', '5', '0', '6', '1']",[],[],[],1.62
26.03.,Rossi L.,0,,,,,,[],"['1', '5']",[],[],[],2.18
04.03.,Rossi L.,2,,,,,,"['5', '4']","['3', '2']",[],[],[],1.41
04.03.,Ifi N.,0,,,,,,[],[],[],[],[],2.73
12.02.,Orlov V.,2,,,,,,"['1', '0']","['2', '0']",[],[],[],1.69
12.02.,Rossi L.,0,,,,,,"['1', '1']",[],[],[],[],2.09
05.02.,Blanch D.,2,,,,,,"['2', '1', '4', '1', '6', '3']","['2', '0']","['4', '5', '6', '5']",[],[],1.55
05.02.,Rossi L.,1,,,,,,"['2', '4']","['2', '3', '4', '3', '6', '3']","['2', '0']",[],[],2.36
21.01.,Demin Y.,2,,,,,,"['4', '5']",[],"['3', '1', '5', '1']",[],[],1.26
21.01.,Rossi L.,1,,,,,,"['5', '3', '6', '4']",[],[],[],[],3.72
04.12.2024,Dzhavakian Y.,2,,,,,,[],"['2', '0', '4', '0']","['2', '1', '4', '3', '6', '5']",[],[],-
04.12.2024,Rossi L.,1,,,,,,"['3', '1', '5', '1']",[],"['2', '2', '4', '4']",[],[],-
30.11.2024,Gengel M.,2,,,,,,"['1', '0', '5', '2']","['1', '0', '4', '1', '6', '1']",[],[],[],1.12
30.11.2024,Rossi L.,0,,,,,,[],[],[],[],[],5.58
28.11.2024,Rossi L.,2,,,,,,"['6', '4']","['2', '0']","['7', '5']",[],[],1.88
28.11.2024,D'Agostino S.,1,,,,,,[],"['1', '2', '5', '4']",[],[],[],1.82
27.11.2024,Rossi L.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['3', '1']",[],[],[],1.45
27.11.2024,Molder M.,0,,,,,,[],[],[],[],[],2.59
23.10.2024,Diez S.,2,,,,,,"['2', '1', '4', '1', '5', '2']","['1', '0', '3', '2', '5', '2']",[],[],[],-
23.10.2024,Rossi L.,0,,,,,,"['2', '4']","['1', '1']",[],[],[],-
03.10.2024,Brunclik P.,2,,,,,,"['4', '3']","['1', '0', '4', '1']",[],[],[],1.67
03.10.2024,Rossi L.,0,,,,,,[],"['3', '5']",[],[],[],2.10
02.10.2024,Rossi L.,2,,,,,,"['4', '3', '6', '3']","['2', '4', '4', '4']","['1', '0', '3', '2', '5', '2']",[],[],1.32
02.10.2024,Jilly A.,1,,,,,,[],"['1', '0', '3', '0']","['1', '1']",[],[],3.14
