Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
14.05.,Hohmann R.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['3', '1', '4', '2']",[],[],[],1.40
14.05.,Segura M.,0,,,,,,[],"['2', '3']",[],[],[],2.77
30.04.,Hance K.,2,,,,,,"['1', '0', '6', '3']","['5', '3']",[],[],[],1.74
30.04.,Segura M.,0,,,,,,[],[],[],[],[],1.97
20.11.2024,Anthrop J.,2,,,,,,"['1', '0']","['4', '2']",[],[],[],1.07
20.11.2024,Segura M.,0,,,,,,"['3', '3']","['4', '5']",[],[],[],6.88
01.05.2024,Haviland R.,2,,,,,,"['4', '5']","['3', '1', '5', '3', '7', '5']",[],[],[],1.64
01.05.2024,Segura M.,0,,,,,,"['2', '0']","['3', '4', '4', '5']",[],[],[],2.17
25.04.2024,Grant W.,2,,,,,,"['1', '0']","['2', '1', '4', '1', '6', '1']","['3', '1', '5', '3']",[],[],1.14
25.04.2024,Segura M.,1,,,,,,"['1', '1', '4', '2', '6', '2']",[],"['3', '4']",[],[],5.24
24.04.2024,Segura M.,2,,,,,,"['1', '1', '2', '2', '4', '4', '6', '4']","['2', '0', '4', '0', '6', '0']",[],[],[],1.54
24.04.2024,Jones A.,0,,,,,,"['1', '0', '2', '1', '4', '3']",[],[],[],[],2.36
07.02.2024,Andrade A.,2,,,,,,"['2', '1', '4', '1', '6', '1']","['2', '0', '4', '0', '6', '0']",[],[],[],1.20
07.02.2024,Segura M.,0,,,,,,[],[],[],[],[],4.22
