Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
CHALLENGER MEN - SINGLES Porto (Portugal),hard,header
24.04.,Coulibaly E.,2,,,,,,4,3,63%,77% (27/35),62% (13/21),100% (2/2),35% (11/31),52% (11/21),75% (3/4),71% (40/56),42% (22/52),57% (62/108),5,0,100% (9/9),33% (3/9),67% (12/18),[],[],[],[],[],0
24.04.,Kivattsev K.,0,,,,,,3,1,60%,65% (20/31),48% (10/21),25% (1/4),23% (8/35),38% (8/21),0% (0/2),58% (30/52),29% (16/56),43% (46/108),5,0,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],0
22.04.,Coulibaly E.,2,,,,,,9,7,64%,74% (32/43),33% (8/24),83% (10/12),39% (14/36),73% (19/26),38% (5/13),60% (40/67),53% (33/62),57% (73/129),6,0,78% (7/9),56% (5/9),67% (12/18),[],[],[],[],[],0
22.04.,Bax F.,0,,,,,,1,1,58%,61% (22/36),27% (7/26),62% (8/13),26% (11/43),67% (16/24),17% (2/12),47% (29/62),40% (27/67),43% (56/129),4,0,44% (4/9),22% (2/9),33% (6/18),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Abidjan (Ivory Coast),hard,header
15.04.,Coulibaly E.,1,,,,,,5,5,57%,72% (42/58),43% (19/44),58% (7/12),30% (20/67),56% (22/39),80% (4/5),60% (61/102),40% (42/106),50% (103/208),5,4,69% (11/16),25% (4/16),47% (15/32),[],[],[],[],[],0
15.04.,Baadi T.,2,,,,,,3,9,63%,70% (47/67),44% (17/39),20% (1/5),28% (16/58),57% (25/44),42% (5/12),60% (64/106),40% (41/102),50% (105/208),5,0,75% (12/16),31% (5/16),53% (17/32),[],[],[],[],[],0
ITF MEN - SINGLES M25 Tarragona (Spain),clay,header
CHALLENGER MEN - SINGLES Kigali 2 (Rwanda),clay,header
04.03.,Coulibaly E.,0,,,,,,3,4,53%,43% (9/21),53% (10/19),0% (0/4),28% (9/32),43% (10/23),25% (1/4),48% (19/40),35% (19/55),40% (38/95),3,1,50% (4/8),11% (1/9),29% (5/17),[],[],[],[],[],0
04.03.,Denolly C.,2,,,,,,1,5,58%,72% (23/32),57% (13/23),75% (3/4),57% (12/21),47% (9/19),100% (4/4),65% (36/55),53% (21/40),60% (57/95),7,0,89% (8/9),50% (4/8),71% (12/17),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Kigali (Rwanda),clay,header
26.02.,Coulibaly E.,0,,,,,,0,4,66%,70% (37/53),26% (7/27),62% (8/13),20% (7/35),54% (13/24),75% (3/4),55% (44/80),34% (20/59),46% (64/139),3,1,55% (6/11),30% (3/10),43% (9/21),[],[],[],[],[],0
26.02.,Houkes M.,2,,,,,,1,4,59%,80% (28/35),46% (11/24),25% (1/4),30% (16/53),74% (20/27),38% (5/13),66% (39/59),45% (36/80),54% (75/139),7,0,70% (7/10),45% (5/11),57% (12/21),[],[],[],[],[],0
25.02.,Coulibaly E.,2,,,,,,7,3,68%,74% (32/43),65% (13/20),100% (4/4),33% (11/33),18% (3/17),67% (2/3),71% (45/63),28% (14/50),52% (59/113),6,0,100% (10/10),20% (2/10),60% (12/20),[],[],[],[],[],0
25.02.,Michalski D.,0,,,,,,3,0,66%,67% (22/33),82% (14/17),33% (1/3),26% (11/43),35% (7/20),0% (0/4),72% (36/50),29% (18/63),48% (54/113),4,0,80% (8/10),0% (0/10),40% (8/20),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Brazzaville (Republic of the Congo),clay,header
21.02.,Coulibaly E.,1,,,,,,12,9,56%,78% (35/45),49% (17/35),50% (3/6),36% (21/59),41% (17/41),20% (2/10),65% (52/80),38% (38/100),50% (90/180),4,1,79% (11/14),14% (2/14),46% (13/28),[],[],[],[],[],0
21.02.,Dinev D.,2,,,,,,2,2,59%,64% (38/59),59% (24/41),80% (8/10),22% (10/45),51% (18/35),50% (3/6),62% (62/100),35% (28/80),50% (90/180),6,0,86% (12/14),21% (3/14),54% (15/28),[],[],[],[],[],0
20.02.,Coulibaly E.,1,,,,,,4,2,63%,93% (14/15),44% (4/9),100% (2/2),38% (6/16),70% (7/10),50% (3/6),75% (18/24),50% (13/26),62% (31/50),9,0,100% (4/4),60% (3/5),78% (7/9),[],[],[],[],[],0
20.02.,Chaiyarin C.,0,,,,,,0,0,62%,63% (10/16),30% (3/10),50% (3/6),7% (1/15),56% (5/9),0% (0/2),50% (13/26),25% (6/24),38% (19/50),1,0,40% (2/5),0% (0/4),22% (2/9),[],[],[],[],[],0
18.02.,Coulibaly E.,2,,,,,,5,9,54%,60% (29/48),49% (20/41),69% (11/16),41% (18/44),46% (13/28),50% (5/10),55% (49/89),43% (31/72),50% (80/161),7,0,62% (8/13),38% (5/13),50% (13/26),[],[],[],[],[],0
18.02.,Steiner M.,1,,,,,,1,4,61%,59% (26/44),54% (15/28),50% (5/10),40% (19/48),51% (21/41),31% (5/16),57% (41/72),45% (40/89),50% (81/161),3,0,62% (8/13),38% (5/13),50% (13/26),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Lille (France) - Qualification,hard,header
02.02.,Coulibaly E.,0,,,,,,4,5,66%,61% (30/49),36% (9/25),44% (4/9),35% (19/54),50% (9/18),60% (3/5),53% (39/74),39% (28/72),46% (67/146),2,0,55% (6/11),30% (3/10),43% (9/21),[],[],[],[],[],0
02.02.,Paris T.,2,,,,,,2,1,75%,65% (35/54),50% (9/18),40% (2/5),39% (19/49),64% (16/25),56% (5/9),61% (44/72),47% (35/74),54% (79/146),8,0,70% (7/10),45% (5/11),57% (12/21),[],[],[],[],[],0
ITF MEN - SINGLES M15 Monastir 2 (Tunisia),hard,header
ITF MEN - SINGLES M25 Monastir 4 (Tunisia),hard,header
ITF MEN - SINGLES M25 Maputo (Mozambique),hard,header
06.11.2024,Coulibaly E.,2,,,,,,[],[],[],[],[],0
06.11.2024,Thurner N.,0,,,,,,[],[],[],[],[],0
CHALLENGER MEN - SINGLES Brazzaville (Republic of the Congo),clay,header
02.11.2024,Coulibaly E.,0,,,,,,5,3,64%,66% (21/32),33% (6/18),0% (0/4),20% (5/25),20% (3/15),0% (0/0),54% (27/50),20% (8/40),39% (35/90),2,0,56% (5/9),0% (0/8),29% (5/17),[],[],[],[],[],0
02.11.2024,Jianu F. C.,2,,,,,,3,2,63%,80% (20/25),80% (12/15),0% (0/0),34% (11/32),67% (12/18),100% (4/4),80% (32/40),46% (23/50),61% (55/90),8,0,100% (8/8),44% (4/9),71% (12/17),[],[],[],[],[],0
