Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
06.04.2024,Vukic A.,2,,,,,,8,0,57%,79% (22/28),67% (14/21),80% (4/5),39% (11/28),50% (9/18),67% (4/6),23,4,71% (5/7),73% (36/49),43% (20/46),59% (56/95),6,0,89% (8/9),44% (4/9),67% (12/18),"['1', '0', '3', '0', '4', '1']","['4', '3']",[],[],[],1.27
06.04.2024,Catarina L.,0,,,,,,1,1,61%,61% (17/28),50% (9/18),33% (2/6),21% (6/28),33% (7/21),20% (1/5),10,6,33% (5/15),57% (26/46),27% (13/49),41% (39/95),4,0,56% (5/9),11% (1/9),33% (6/18),"['1', '3']",[],[],[],[],3.80
15.09.2023,Catarina L.,2,,,,,,"['2', '0', '4', '2']","['2', '1']","['2', '2', '4', '4', '7', '5']",[],[],2.09
15.09.2023,Gomez E.,1,,,,,,"['2', '3']","['2', '2', '4', '2']","['1', '0', '4', '3']",[],[],1.69
12.07.2023,Rosenkranz M.,2,,,,,,"['4', '4']","['2', '1', '4', '1', '6', '1']","['5', '3']",[],[],2.09
12.07.2023,Catarina L.,1,,,,,,"['3', '2']",[],[],[],[],1.68
11.07.2023,Catarina L.,2,,,,,,"['2', '1', '6', '3']","['5', '3']",[],[],[],1.18
11.07.2023,Jones B.,0,,,,,,[],[],[],[],[],4.43
03.07.2023,Kuzuhara B.,2,,,,,,2,1,71%,67% (24/36),53% (8/15),0% (0/2),50% (16/32),57% (12/21),56% (5/9),63% (32/51),53% (28/53),58% (60/104),78% (7/9),56% (5/9),67% (12/18),"['1', '0', '3', '0']","['2', '1', '3', '2', '5', '4']",[],[],[],2.36
03.07.2023,Catarina L.,0,,,,,,0,4,60%,50% (16/32),43% (9/21),44% (4/9),33% (12/36),47% (7/15),100% (2/2),47% (25/53),37% (19/51),42% (44/104),44% (4/9),22% (2/9),33% (6/18),[],"['2', '2', '4', '4']",[],[],[],1.55
21.05.2023,Catarina L.,2,,,,,,[],[],[],[],[],1.17
21.05.2023,Dahlin M.,1,,,,,,[],[],[],[],[],4.56
20.05.2023,Catarina L.,2,,,,,,[],[],[],[],[],1.27
20.05.2023,Visker N.,0,,,,,,[],[],[],[],[],3.46
19.05.2023,Catarina L.,2,,,,,,[],[],[],[],[],1.04
19.05.2023,Jansson O.,0,,,,,,[],[],[],[],[],9.20
18.05.2023,Catarina L.,2,,,,,,[],[],[],[],[],1.03
18.05.2023,Eriksson S.,0,,,,,,[],[],[],[],[],10.00
17.05.2023,Catarina L.,2,,,,,,[],[],[],[],[],-
17.05.2023,Svensson A.,0,,,,,,[],[],[],[],[],-
08.04.2023,Humbert U.,2,,,,,,4,1,63%,73% (38/52),60% (18/30),100% (2/2),32% (19/59),51% (20/39),10% (1/10),11,4,86% (6/7),68% (55/81),40% (39/98),53% (94/179),100% (11/11),9% (1/11),55% (12/22),[],"['2', '1']",[],[],[],1.24
08.04.2023,Catarina L.,0,,,,,,4,6,60%,68% (40/59),49% (19/39),90% (9/10),27% (14/52),40% (12/30),0% (0/2),7,3,50% (4/8),60% (59/98),32% (26/81),47% (85/179),91% (10/11),0% (0/11),45% (10/22),[],[],[],[],[],3.80
