Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,582/357,376/205,169/113,27/32,0/2,10/5
2024,61/28,56/25,5/1,-,-,0/2
2023,48/20,40/18,1/1,1/1,-,6/0
2022,18/31,7/19,11/11,-,-,0/1
2021,35/36,28/21,0/4,7/10,0/1,-
2020,99/67,61/37,38/25,0/5,-,-
2019,69/19,58/13,6/3,5/3,-,-
2018,15/11,7/4,3/4,3/2,-,2/1
2017,45/28,17/12,26/15,-,-,2/1
2016,52/30,20/15,30/12,2/2,0/1,-
2015,67/23,46/11,15/9,6/3,-,-
2014,33/25,17/15,16/9,0/1,-,-
2013,22/14,12/6,8/6,2/2,-,-
2012,14/17,7/6,6/8,1/3,-,-
2011,4/8,0/3,4/5,-,-,-
