Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
06.08.,Molder M.,2,,,,,,"['2', '1', '6', '5']","['3', '2', '6', '3']",[],[],[],1.61
06.08.,Karahan A.,0,,,,,,"['5', '5']",[],[],[],[],2.20
24.06.,Rybkin S.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['6', '5']",[],[],[],3.32
24.06.,Karahan A.,0,,,,,,[],[],[],[],[],1.29
17.06.,Ursu V.,2,,,,,,"['1', '0', '2', '1', '6', '3']","['3', '1', '5', '1']",[],[],[],1.25
17.06.,Karahan A.,0,,,,,,"['1', '1']",[],[],[],[],3.62
02.02.,Karahan A.,2,,,,,,"['5', '3']","['1', '0', '6', '3']",[],[],[],-
02.02.,De Alba R.,0,,,,,,[],[],[],[],[],-
19.11.2024,Altamirano C.,2,,,,,,"['2', '3', '4', '3']","['3', '2', '6', '5']","['3', '2']",[],[],1.46
19.11.2024,Karahan A.,1,,,,,,"['2', '0', '5', '5', '7', '5']","['3', '3']",[],[],[],2.56
17.10.2024,Pow L.,2,,,,,,"['4', '2', '5', '3']","['1', '0', '3', '0', '5', '2']",[],[],[],1.94
17.10.2024,Karahan A.,0,,,,,,"['3', '4']","['1', '3']",[],[],[],1.77
16.10.2024,Karahan A.,2,,,,,,"['3', '1', '5', '1']","['2', '1', '4', '1', '6', '1']",[],[],[],1.72
16.10.2024,Tobon M.,0,,,,,,[],[],[],[],[],2.00
05.09.2024,Sakamoto R.,2,,,,,,1,1,73%,71% (29/41),53% (8/15),50% (1/2),32% (8/25),65% (17/26),80% (4/5),10,20,64% (14/22),66% (37/56),49% (25/51),58% (62/107),5,0,89% (8/9),44% (4/9),67% (12/18),1468,"['2', '1', '6', '3']","['2', '0', '3', '1']",[],[],[],-
05.09.2024,Karahan A.,0,,,,,,3,3,49%,68% (17/25),35% (9/26),20% (1/5),29% (12/41),47% (7/15),50% (1/2),11,29,100% (5/5),51% (26/51),34% (19/56),42% (45/107),5,0,56% (5/9),11% (1/9),33% (6/18),1452,[],"['1', '2']",[],[],[],-
04.09.2024,Karahan A.,2,,,,,,"['3', '2']","['1', '0', '3', '0']",[],[],[],-
04.09.2024,Papamalamis T.,0,,,,,,[],"['1', '3', '4', '4']",[],[],[],-
03.09.2024,Karahan A.,2,,,,,,"['1', '1', '4', '2', '6', '2']","['3', '5']","['3', '1', '5', '3']",[],[],-
03.09.2024,Miguel L. A.,1,,,,,,"['1', '0']","['2', '1', '5', '2']","['3', '4']",[],[],-
01.09.2024,Karahan A.,2,,,,,,"['3', '2', '5', '2']",[],"['2', '1', '4', '1', '6', '5']",[],[],-
