Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,10/11,10/10,0/1,-,-,-
2024,3/4,3/4,-,-,-,-
2023,3/3,3/2,0/1,-,-,-
2022,4/4,4/4,-,-,-,-
