Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,2/7,1/5,1/2,-,-,-
2024,2/4,1/3,1/1,-,-,-
2023,0/1,-,0/1,-,-,-
2022,0/2,0/2,-,-,-,-
