Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,200/140,99/72,86/52,13/14,-,2/2
2024,19/20,18/16,0/2,1/2,-,-
2023,27/29,21/18,3/7,3/3,-,0/1
2022,44/33,30/15,10/13,4/5,-,-
2021,44/15,9/6,30/7,5/2,-,-
2020,34/18,9/6,23/10,0/1,-,2/1
2019,16/13,2/4,14/9,-,-,-
2018,14/9,8/5,6/4,-,-,-
2017,2/2,2/2,-,-,-,-
2016,0/1,-,-,0/1,-,-
