Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,249/213,187/133,27/29,32/43,3/8,-
2024,30/31,17/19,4/6,7/4,2/2,-
2023,55/37,44/27,2/3,9/6,0/1,-
2022,49/30,47/26,2/1,0/3,-,-
2021,10/24,8/17,0/1,2/4,0/2,-
2020,0/7,0/4,0/1,0/2,-,-
2019,28/30,24/18,3/6,1/5,0/1,-
2018,34/22,24/11,9/6,0/3,1/2,-
2017,33/24,18/8,7/5,8/11,-,-
2016,9/6,5/3,-,4/3,-,-
2015,1/2,-,-,1/2,-,-
