Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,112/84,106/74,6/10,-,-,-
2024,24/19,24/19,-,-,-,-
2023,38/20,35/17,3/3,-,-,-
2022,26/15,26/15,-,-,-,-
2021,12/13,9/7,3/6,-,-,-
2019,8/8,8/7,0/1,-,-,-
2018,4/9,4/9,-,-,-,-
