Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
17.09.2024,Tirante T. A.,2,,,,,,8,1,67%,78% (25/32),56% (9/16),50% (1/2),58% (19/33),55% (11/20),71% (5/7),71% (34/48),57% (30/53),63% (64/101),8,0,88% (7/8),63% (5/8),75% (12/16),"['3', '2', '5', '2', '6', '3']","['3', '1', '5', '1']",[],[],[],1.01
17.09.2024,Rengifo F.,0,,,,,,0,4,62%,42% (14/33),45% (9/20),29% (2/7),22% (7/32),44% (7/16),50% (1/2),43% (23/53),29% (14/48),37% (37/101),2,0,38% (3/8),13% (1/8),25% (4/16),"['3', '5']",[],[],[],[],32.00
15.08.2024,Rodriguez J. A.,2,,,,,,"['3', '1', '5', '1']","['2', '1', '4', '1', '6', '1']",[],[],[],1.20
15.08.2024,Rengifo F.,0,,,,,,[],[],[],[],[],4.17
14.08.2024,Rengifo F.,2,,,,,,"['2', '2', '5', '3']","['1', '0', '3', '0']","['2', '0', '6', '4']",[],[],1.26
14.08.2024,Trujillo Hernandez J. E.,1,,,,,,"['2', '1']","['3', '5', '5', '5']","['3', '4']",[],[],3.59
05.08.2024,Farjat T.,2,,,,,,5,2,63%,73% (24/33),47% (9/19),60% (3/5),0 km/h,0 km/h,44% (11/25),65% (11/17),83% (5/6),63% (33/52),52% (22/42),59% (55/94),6,0,78% (7/9),63% (5/8),71% (12/17),"['2', '0', '4', '0', '5', '1']","['2', '3', '4', '3']",[],[],[],1.18
05.08.2024,Rengifo F.,0,,,,,,1,3,60%,56% (14/25),35% (6/17),17% (1/6),0 km/h,0 km/h,27% (9/33),53% (10/19),40% (2/5),48% (20/42),37% (19/52),41% (39/94),4,0,38% (3/8),22% (2/9),29% (5/17),"['1', '4']","['2', '0']",[],[],[],4.55
04.08.2024,Rengifo F.,2,,,,,,1,3,51%,63% (25/40),67% (26/39),80% (8/10),0 km/h,0 km/h,36% (16/44),70% (21/30),33% (4/12),65% (51/79),50% (37/74),58% (88/153),6,0,80% (8/10),40% (4/10),60% (12/20),"['2', '2', '4', '4']","['3', '2', '5', '2']",[],[],[],5.48
04.08.2024,Huertas Del Pino C.,0,,,,,,4,8,59%,64% (28/44),30% (9/30),67% (8/12),0 km/h,0 km/h,38% (15/40),33% (13/39),20% (2/10),50% (37/74),35% (28/79),42% (65/153),4,1,60% (6/10),20% (2/10),40% (8/20),"['2', '1', '4', '3']",[],[],[],[],1.13
15.11.2023,Forcano I.,2,,,,,,[],[],[],[],[],-
15.11.2023,Rengifo F.,1,,,,,,[],[],[],[],[],-
24.09.2023,Farjat T.,2,,,,,,5,8,47%,79% (27/34),54% (21/39),100% (3/3),24% (6/25),45% (13/29),100% (2/2),66% (48/73),35% (19/54),53% (67/127),100% (10/10),22% (2/9),63% (12/19),"['5', '3']","['4', '3']",[],[],[],1.20
24.09.2023,Rengifo F.,0,,,,,,2,7,46%,76% (19/25),55% (16/29),0% (0/2),21% (7/34),46% (18/39),0% (0/3),65% (35/54),34% (25/73),47% (60/127),78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],4.22
08.08.2023,Huertas Del Pino Cordova A.,2,,,,,,[],[],[],[],[],-
08.08.2023,Rengifo F.,0,,,,,,[],[],[],[],[],-
19.06.2023,Hoyos Franco A.,2,,,,,,2,7,63%,77% (34/44),38% (10/26),50% (2/4),40% (17/42),48% (11/23),40% (4/10),63% (44/70),43% (28/65),53% (72/135),82% (9/11),36% (4/11),59% (13/22),"['1', '0', '5', '4', '6', '5']","['1', '0']",[],[],[],1.17
19.06.2023,Rengifo F.,0,,,,,,0,2,65%,60% (25/42),52% (12/23),60% (6/10),23% (10/44),62% (16/26),50% (2/4),57% (37/65),37% (26/70),47% (63/135),64% (7/11),18% (2/11),41% (9/22),"['2', '2', '5', '5']",[],[],[],[],4.65
18.06.2023,Rengifo F.,2,,,,,,1,7,58%,72% (21/29),33% (7/21),40% (2/5),43% (12/28),70% (16/23),67% (6/9),56% (28/50),55% (28/51),55% (56/101),67% (6/9),67% (6/9),67% (12/18),"['2', '2', '4', '4', '6', '4']","['2', '0', '5', '1', '6', '2']",[],[],[],13.00
18.06.2023,Nam Ji S.,0,,,,,,1,8,55%,57% (16/28),30% (7/23),33% (3/9),28% (8/29),67% (14/21),60% (3/5),45% (23/51),44% (22/50),45% (45/101),33% (3/9),33% (3/9),33% (6/18),"['2', '1', '3', '2']","['2', '5']",[],[],[],1.01
