Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,571/429,88/95,396/262,44/28,36/37,7/7
2024,0/8,0/1,0/6,-,0/1,-
2023,4/19,0/4,3/10,1/1,0/4,-
2022,39/31,4/7,14/13,13/8,8/3,-
2021,23/28,4/8,8/11,5/5,6/4,-
2020,16/11,6/3,8/7,0/1,-,2/0
2019,31/26,5/5,17/17,-,6/4,3/0
2018,32/28,6/6,24/16,2/4,0/2,-
2017,38/23,3/7,33/13,-,2/3,-
2016,48/23,2/5,43/14,2/1,1/3,-
2015,21/26,5/8,14/14,-,2/3,0/1
2014,20/25,4/6,11/16,-,4/3,1/0
2013,43/20,12/8,26/11,5/1,-,-
2012,28/22,8/4,17/13,0/3,2/2,1/0
2011,26/30,3/6,20/20,2/2,1/2,-
2010,43/24,13/5,29/14,-,1/1,0/4
2009,33/15,1/1,21/11,10/1,1/1,0/1
2008,18/18,5/5,13/13,-,-,-
2007,47/23,1/2,40/18,4/1,2/1,0/1
2006,45/11,5/2,40/9,-,-,-
2005,11/10,-,11/10,-,-,-
2004,3/4,-,3/4,-,-,-
2003,2/4,1/2,1/2,-,-,-
