Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,73/30,-,73/28,0/2,-,-
2024,16/9,-,16/8,0/1,-,-
2023,21/12,-,21/11,0/1,-,-
2022,16/6,-,16/6,-,-,-
2021,19/2,-,19/2,-,-,-
2017,1/1,-,1/1,-,-,-
