Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,429/284,397/249,31/28,0/1,1/5,0/1
2024,6/6,6/3,0/2,-,0/1,-
2023,11/10,10/9,1/1,-,-,-
2022,28/28,21/21,6/6,-,1/1,-
2021,64/22,47/20,17/2,-,-,-
2018,10/14,6/8,4/5,-,-,0/1
2017,35/30,33/21,2/7,0/1,0/1,-
2016,51/32,51/29,0/2,-,0/1,-
2015,45/26,44/24,1/1,-,0/1,-
2014,57/27,57/27,-,-,-,-
2013,27/26,27/25,0/1,-,-,-
2012,42/21,42/21,-,-,-,-
2011,8/8,8/8,-,-,-,-
2010,30/22,30/22,-,-,-,-
2009,15/12,15/11,0/1,-,-,-
