Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
CHALLENGER MEN - SINGLES :  Guangzhou (China),hard,header
23.02. 19:25,Sharipov M.,0,2,4,,,,10,1,63%,68% (27/40),43% (10/23),40% (2/5),22% (8/36),40% (6/15),0% (0/1),59% (37/63),27% (14/51),45% (51/114),5,2,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],1.58
23.02. 19:25,Fonio G.,2,6,6,,,,2,0,71%,78% (28/36),60% (9/15),100% (1/1),33% (13/40),57% (13/23),60% (3/5),73% (37/51),41% (26/63),55% (63/114),5,0,100% (9/9),33% (3/9),67% (12/18),[],[],[],[],[],2.29
CHALLENGER MEN - SINGLES :  Manama (Bahrain),hard,header
14.02. 13:40,Sharipov M.,2,4,7^7,7^7,,,20,2,67%,79% (52/66),61% (20/33),50% (2/4),30% (23/77),44% (21/48),8% (1/12),73% (73/100),35% (44/125),52% (117/225),9,0,88% (15/17),6% (1/17),47% (16/34),[],[],[],[],[],2.28
14.02. 13:40,Ajdukovic D.,1,6,6^4,6^1,,,8,4,62%,70% (54/77),56% (27/48),92% (11/12),21% (14/66),39% (13/33),50% (2/4),65% (81/125),27% (27/100),48% (108/225),1,0,94% (16/17),12% (2/17),53% (18/34),[],[],[],[],[],1.53
12.02. 17:35,Sharipov M.,2,6,6,,,,10,0,65%,79% (27/34),61% (11/18),50% (1/2),15% (4/27),61% (14/23),43% (3/7),73% (38/52),36% (18/50),55% (56/102),8,0,90% (9/10),33% (3/9),63% (12/19),[],[],[],[],[],2.69
12.02. 17:35,De Jong J.,0,3,4,,,,5,3,54%,85% (23/27),39% (9/23),57% (4/7),21% (7/34),39% (7/18),50% (1/2),64% (32/50),27% (14/52),45% (46/102),2,0,67% (6/9),10% (1/10),37% (7/19),[],[],[],[],[],1.43
11.02. 18:45,Sharipov M.,2,6,7^7,,,,9,1,64%,81% (34/42),71% (17/24),0% (0/0),19% (10/53),61% (14/23),20% (1/5),77% (51/66),32% (24/76),53% (75/142),6,0,100% (11/11),9% (1/11),55% (12/22),[],[],[],[],[],1.92
11.02. 18:45,Zhukayev B.,0,4,6^4,,,,12,1,70%,81% (43/53),39% (9/23),80% (4/5),19% (8/42),29% (7/24),0% (0/0),68% (52/76),23% (15/66),47% (67/142),4,2,91% (10/11),0% (0/11),45% (10/22),[],[],[],[],[],1.81
CHALLENGER MEN - SINGLES :  Manama (Bahrain) - Qualification,hard,header
10.02. 13:40,Sharipov M.,2,7^7,6,,,,14,1,71%,78% (36/46),68% (13/19),0% (0/0),31% (16/51),46% (11/24),20% (1/5),75% (49/65),36% (27/75),54% (76/140),5,0,100% (11/11),9% (1/11),55% (12/22),[],[],[],[],[],1.25
10.02. 13:40,Sinclair C.,0,6^1,4,,,,4,2,68%,69% (35/51),54% (13/24),80% (4/5),22% (10/46),32% (6/19),0% (0/0),64% (48/75),25% (16/65),46% (64/140),5,0,91% (10/11),0% (0/11),45% (10/22),[],[],[],[],[],3.70
09.02. 13:40,Sharipov M.,2,7,6,,,,8,3,58%,70% (28/40),41% (12/29),40% (2/5),41% (19/46),86% (19/22),38% (6/16),58% (40/69),56% (38/68),57% (78/137),8,0,70% (7/10),60% (6/10),65% (13/20),[],[],[],[],[],1.06
09.02. 13:40,Maamoun K.M.,0,5,2,,,,0,7,68%,59% (27/46),14% (3/22),63% (10/16),30% (12/40),59% (17/29),60% (3/5),44% (30/68),42% (29/69),43% (59/137),2,0,40% (4/10),30% (3/10),35% (7/20),[],[],[],[],[],7.70
ITF MEN - SINGLES :  M25 Doha (Qatar),hard,header
CHALLENGER MEN - SINGLES :  Nonthaburi 2 (Thailand),hard,header
10.01. 09:40,Sharipov M.,1,6,3,6^6,,,16,0,52%,78% (39/50),55% (26/47),60% (3/5),32% (26/82),46% (11/24),18% (2/11),67% (65/97),35% (37/106),50% (102/203),3,1,87% (13/15),13% (2/15),50% (15/30),[],[],[],[],[],1.49
10.01. 09:40,Cui J.,2,3,6,7^8,,,4,0,77%,68% (56/82),54% (13/24),82% (9/11),22% (11/50),45% (21/47),40% (2/5),65% (69/106),33% (32/97),50% (101/203),7,0,87% (13/15),13% (2/15),50% (15/30),[],[],[],[],[],2.51
09.01. 11:40,Sharipov M.,2,6,4,6,,,13,5,66%,75% (47/63),34% (11/32),63% (5/8),36% (18/50),57% (13/23),56% (5/9),61% (58/95),42% (31/73),53% (89/168),8,0,79% (11/14),38% (5/13),59% (16/27),[],[],[],[],[],1.37
09.01. 11:40,Takahashi Y.,1,3,6,2,,,4,2,68%,64% (32/50),43% (10/23),44% (4/9),25% (16/63),66% (21/32),38% (3/8),58% (42/73),39% (37/95),47% (79/168),2,1,62% (8/13),21% (3/14),41% (11/27),[],[],[],[],[],2.99
08.01. 11:45,Sharipov M.,2,7^7,5,6,,,28,3,60%,85% (47/55),58% (21/36),50% (2/4),39% (27/69),31% (14/45),33% (2/6),75% (68/91),36% (41/114),53% (109/205),6,0,88% (15/17),12% (2/17),50% (17/34),[],[],[],[],[],4.41
08.01. 11:45,Karatsev A.,1,6^2,7,4,,,3,2,61%,61% (42/69),69% (31/45),67% (4/6),15% (8/55),42% (15/36),50% (2/4),64% (73/114),25% (23/91),47% (96/205),4,0,88% (15/17),12% (2/17),50% (17/34),[],[],[],[],[],1.19
07.01. 12:00,Sharipov M.,2,6,6,,,,14,2,62%,79% (26/33),65% (13/20),75% (3/4),39% (16/41),54% (14/26),38% (3/8),74% (39/53),45% (30/67),58% (69/120),6,0,90% (9/10),33% (3/9),63% (12/19),[],[],[],[],[],1.44
07.01. 12:00,Kolar Z.,0,3,4,,,,1,3,61%,61% (25/41),46% (12/26),63% (5/8),21% (7/33),35% (7/20),25% (1/4),55% (37/67),26% (14/53),43% (51/120),4,0,67% (6/9),10% (1/10),37% (7/19),[],[],[],[],[],2.66
CHALLENGER MEN - SINGLES :  Nonthaburi (Thailand),hard,header
31.12.2024,Sharipov M.,1,6^3,6,4,,,20,2,68%,74% (46/62),48% (14/29),57% (4/7),25% (14/57),53% (17/32),44% (4/9),66% (60/91),35% (31/89),51% (91/180),3,1,80% (12/15),27% (4/15),53% (16/30),[],[],[],[],[],1.95
31.12.2024,Sakamoto R.,2,7^7,2,6,,,13,2,64%,75% (43/57),47% (15/32),56% (5/9),26% (16/62),52% (15/29),43% (3/7),65% (58/89),34% (31/91),49% (89/180),7,0,73% (11/15),20% (3/15),47% (14/30),[],[],[],[],[],1.78
CHALLENGER MEN - SINGLES :  Nonthaburi (Thailand) - Qualification,hard,header
30.12.2024,Sharipov M.,2,4,6,6,,,22,2,63%,79% (38/48),46% (13/28),0% (0/2),41% (21/51),50% (14/28),63% (5/8),67% (51/76),44% (35/79),55% (86/155),7,0,85% (11/13),38% (5/13),62% (16/26),[],[],[],[],[],1.39
30.12.2024,Shiraishi H.,1,6,2,2,,,5,2,65%,59% (30/51),50% (14/28),38% (3/8),21% (10/48),54% (15/28),100% (2/2),56% (44/79),33% (25/76),45% (69/155),3,0,62% (8/13),15% (2/13),38% (10/26),[],[],[],[],[],2.85
29.12.2024,Sharipov M.,2,6,6,,,,9,3,59%,96% (25/26),61% (11/18),0% (0/0),33% (8/24),58% (11/19),60% (3/5),82% (36/44),44% (19/43),63% (55/87),6,0,100% (9/9),38% (3/8),71% (12/17),[],[],[],[],[],1.03
29.12.2024,Lock C.,0,1,4,,,,1,3,56%,67% (16/24),42% (8/19),40% (2/5),4% (1/26),39% (7/18),0% (0/0),56% (24/43),18% (8/44),37% (32/87),4,0,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],10.50
ITF MEN - SINGLES :  M15 Doha 3 (Qatar),hard,header
ITF MEN - SINGLES :  M25 Monastir 3 (Tunisia),hard,header
ATP - SINGLES :  Belgrade 2 (Serbia) - Qualification,hard,header
02.11.2024,Sharipov M.,0,3,4,,,,4,5,52%,71% (24/34),42% (13/31),63% (5/8),14% (5/35),43% (6/14),0% (0/0),57% (37/65),22% (11/49),42% (48/114),5,3,70% (7/10),0% (0/9),37% (7/19),[],[],[],[],[],3.39
02.11.2024,Ajdukovic D.,2,6,6,,,,6,1,71%,86% (30/35),57% (8/14),0% (0/0),29% (10/34),58% (18/31),38% (3/8),78% (38/49),43% (28/65),58% (66/114),5,0,100% (9/9),30% (3/10),63% (12/19),[],[],[],[],[],1.29
ITF MEN - SINGLES :  M25+H Plaisir (France),hard,header
