Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,593/270,135/62,301/138,91/40,49/27,17/3
2024,8/6,5/3,3/2,-,0/1,-
2023,10/3,-,10/3,-,-,-
2021,26/17,7/4,15/9,2/2,2/2,-
2020,2/4,2/4,-,-,-,-
2019,30/14,10/5,12/7,3/1,5/1,-
2018,49/22,11/5,11/8,21/7,6/2,-
2017,30/13,12/5,15/6,-,3/2,-
2016,61/21,13/4,33/10,10/5,4/1,1/1
2015,56/18,13/3,29/11,6/3,4/1,4/0
2014,56/15,10/2,26/8,13/3,5/2,2/0
2013,37/19,8/4,17/11,8/2,2/2,2/0
2012,39/18,7/4,20/9,3/1,7/3,2/1
2011,44/23,9/5,19/10,9/5,3/3,4/0
2010,39/15,11/1,17/8,8/3,3/3,-
2009,4/6,-,2/4,1/2,-,1/0
2008,38/18,9/2,17/7,6/4,5/4,1/1
2007,35/25,3/7,31/17,1/1,-,-
2006,28/12,5/4,23/7,0/1,-,-
2005,1/1,-,1/1,-,-,-
