Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
26.02.,Damm M.,2,,,,,,"['2', '0', '4', '0']","['2', '1', '6', '5']",[],[],[],1.02
26.02.,Southcombe M.,0,,,,,,[],"['4', '4']",[],[],[],9.50
12.02.,Pawelski M.,2,,,,,,[],"['3', '4']","['2', '0']",[],[],1.18
12.02.,Southcombe M.,1,,,,,,[],"['4', '2']",[],[],[],4.43
04.12.2024,Safwat M.,2,,,,,,"['2', '1']","['2', '0', '5', '3']",[],[],[],1.08
04.12.2024,Southcombe M.,0,,,,,,"['5', '5']","['1', '2']",[],[],[],6.82
21.11.2024,Philippov E.,2,,,,,,"['4', '3', '5', '4']","['4', '3', '5', '4']",[],[],[],-
21.11.2024,Southcombe M.,0,,,,,,"['4', '4']","['4', '4']",[],[],[],-
20.11.2024,Southcombe M.,2,,,,,,"['6', '5']","['1', '0', '4', '1', '6', '1']",[],[],[],3.54
20.11.2024,Schell N.,0,,,,,,[],[],[],[],[],1.26
02.10.2024,Kumaran B. N.,2,,,,,,"['1', '0', '3', '0', '6', '1']","['4', '2']",[],[],[],1.48
02.10.2024,Southcombe M.,0,,,,,,[],[],[],[],[],2.50
07.08.2024,Jones B.,2,,,,,,[],"['1', '0', '3', '0', '6', '1']","['2', '0']",[],[],1.03
07.08.2024,Southcombe M.,1,,,,,,[],[],[],[],[],10.00
17.07.2024,Burnett E.,2,,,,,,"['3', '4', '6', '5']","['2', '1']","['2', '0', '3', '1', '4', '2', '6', '2']",[],[],1.51
17.07.2024,Southcombe M.,1,,,,,,"['3', '1']","['2', '2', '5', '3']","['1', '2', '2', '3']",[],[],2.45
09.07.2024,Lumsden E.,2,,,,,,"['1', '0', '6', '3']","['2', '0', '4', '0']",[],[],[],1.13
09.07.2024,Southcombe M.,0,,,,,,[],[],[],[],[],5.40
23.11.2023,Fukuda S.,2,,,,,,[],[],[],[],[],1.05
23.11.2023,Southcombe M.,0,,,,,,[],[],[],[],[],8.40
11.10.2023,Eqbal I.,2,,,,,,[],[],[],[],[],1.24
11.10.2023,Southcombe M.,0,,,,,,[],[],[],[],[],3.73
10.10.2023,Southcombe M.,2,,,,,,[],[],[],[],[],2.02
10.10.2023,Qamar F.,0,,,,,,[],[],[],[],[],1.71
12.07.2023,Li H.,2,,,,,,[],[],[],[],[],1.15
12.07.2023,Southcombe M.,1,,,,,,[],[],[],[],[],4.89
14.06.2023,Liu H.,2,,,,,,[],[],[],[],[],1.19
14.06.2023,Southcombe M.,0,,,,,,[],[],[],[],[],4.28
23.05.2023,Lock B.,2,,,,,,[],[],[],[],[],1.01
23.05.2023,Southcombe M.,0,,,,,,[],[],[],[],[],16.00
03.05.2022,Poullain L.,2,,,,,,"['1', '1', '3', '1', '6', '2']","['2', '0', '4', '0']",[],[],[],1.06
03.05.2022,Southcombe M.,0,,,,,,"['1', '0']","['1', '4']",[],[],[],8.50
