Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
22.08.,Damm M.,2,,,,,,10,4,60%,80% (35/44),59% (17/29),67% (2/3),32% (16/50),45% (14/31),40% (2/5),71% (52/73),36% (29/80),53% (81/153),6,0,91% (10/11),18% (2/11),55% (12/22),[],"['2', '1', '4', '1']",[],[],[],1.48
22.08.,Shimizu Y.,0,,,,,,2,3,62%,68% (34/50),55% (17/31),60% (3/5),20% (9/44),41% (12/29),33% (1/3),64% (51/80),29% (21/73),47% (72/153),4,0,82% (9/11),9% (1/11),45% (10/22),[],"['2', '4']",[],[],[],2.68
21.08.,Shimizu Y.,2,,,,,,0,3,70%,65% (37/57),48% (12/25),57% (4/7),37% (20/54),57% (16/28),67% (4/6),60% (49/82),43% (36/84),51% (85/166),7,0,75% (9/12),33% (4/12),54% (13/24),"['5', '3']","['3', '2', '5', '4', '6', '5']",[],[],[],2.68
21.08.,Cerundolo J. M.,0,,,,,,4,2,66%,63% (34/54),43% (12/28),33% (2/6),35% (20/57),52% (13/25),43% (3/7),57% (48/84),40% (33/82),49% (81/166),3,2,67% (8/12),25% (3/12),46% (11/24),"['4', '5']","['4', '4', '5', '5']",[],[],[],1.48
19.08.,Shimizu Y.,2,,,,,,2,2,58%,68% (41/60),55% (24/44),71% (5/7),31% (16/52),52% (24/46),56% (5/9),63% (65/104),41% (40/98),52% (105/202),7,0,87% (13/15),33% (5/15),60% (18/30),"['1', '0', '4', '5']","['2', '0']","['2', '1', '6', '3']",[],[],2.30
19.08.,Shimabukuro S.,1,,,,,,4,4,53%,69% (36/52),48% (22/46),44% (4/9),37% (22/60),45% (20/44),29% (2/7),59% (58/98),38% (39/104),48% (97/202),3,0,67% (10/15),13% (2/15),40% (12/30),"['1', '1', '4', '2']",[],[],[],[],1.60
23.07.,Martin A.,2,,,,,,1,2,67%,73% (33/45),50% (11/22),75% (3/4),39% (14/36),46% (12/26),43% (3/7),12,30,56% (5/9),66% (44/67),42% (26/62),54% (70/129),6,0,91% (10/11),30% (3/10),62% (13/21),"['4', '4', '7', '5']","['2', '0']",[],[],[],1.60
23.07.,Shimizu Y.,0,,,,,,2,3,58%,61% (22/36),54% (14/26),57% (4/7),27% (12/45),50% (11/22),25% (1/4),17,44,75% (15/20),58% (36/62),34% (23/67),46% (59/129),4,0,70% (7/10),9% (1/11),38% (8/21),"['3', '2']",[],[],[],[],2.25
22.07.,Shimizu Y.,2,,,,,,1,2,59%,73% (24/33),52% (12/23),67% (2/3),35% (11/31),61% (14/23),67% (4/6),11,25,50% (6/12),64% (36/56),46% (25/54),55% (61/110),5,0,89% (8/9),44% (4/9),67% (12/18),"['3', '2', '5', '2']","['1', '0', '4', '1']",[],[],[],1.96
22.07.,Mejia N.,0,,,,,,1,1,57%,65% (20/31),39% (9/23),33% (2/6),27% (9/33),48% (11/23),33% (1/3),11,36,25% (1/4),54% (29/54),36% (20/56),45% (49/110),5,0,56% (5/9),11% (1/9),33% (6/18),"['3', '5']",[],[],[],[],1.77
18.07.,Holmgren A.,2,,,,,,15,6,55%,83% (40/48),50% (20/40),75% (6/8),31% (21/68),51% (21/41),29% (4/14),36,48,89% (17/19),68% (60/88),39% (42/109),52% (102/197),8,0,86% (12/14),27% (4/15),55% (16/29),"['5', '4']","['3', '4']","['3', '2', '6', '3']",[],[],1.65
18.07.,Shimizu Y.,1,,,,,,0,4,62%,69% (47/68),49% (20/41),71% (10/14),17% (8/48),50% (20/40),25% (2/8),30,27,68% (19/28),61% (67/109),32% (28/88),48% (95/197),2,0,73% (11/15),14% (2/14),45% (13/29),[],"['3', '1', '6', '4']",[],[],[],2.16
