Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,389/323,291/233,27/20,68/68,0/1,3/1
2024,1/5,1/5,-,-,-,-
2023,28/35,24/27,-,4/8,-,-
2022,31/23,25/17,-,3/5,-,3/1
2021,2/13,1/10,-,1/3,-,-
2020,0/4,0/2,-,0/2,-,-
2019,33/24,22/17,2/4,9/3,-,-
2018,44/27,35/18,0/1,9/8,-,-
2017,30/33,23/18,2/3,5/11,0/1,-
2016,57/24,45/17,2/0,10/7,-,-
2015,37/14,14/7,7/2,16/5,-,-
2014,13/16,9/12,-,4/4,-,-
2013,26/20,23/17,0/1,3/2,-,-
2012,37/16,27/12,9/3,1/1,-,-
2011,5/6,5/4,-,0/2,-,-
2010,17/21,14/18,2/2,1/1,-,-
2009,10/11,8/8,2/2,0/1,-,-
2008,11/19,10/14,1/2,0/3,-,-
2007,7/6,5/4,-,2/2,-,-
2006,0/6,0/6,-,-,-,-
