Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,286/250,117/108,145/96,22/44,2/2,-
2024,3/7,0/3,2/1,1/3,-,-
2023,14/13,6/5,6/5,2/3,-,-
2022,14/19,6/6,3/5,3/6,2/2,-
2021,20/19,12/10,6/5,2/4,-,-
2020,18/20,-,15/17,3/3,-,-
2019,30/21,16/10,10/9,4/2,-,-
2018,14/16,6/4,8/6,0/6,-,-
2017,33/18,5/1,28/17,-,-,-
2016,45/27,12/12,33/14,0/1,-,-
2015,16/21,4/9,11/8,1/4,-,-
2014,28/25,26/18,2/2,0/5,-,-
2013,20/17,10/13,10/4,-,-,-
2012,17/14,6/10,11/3,0/1,-,-
2011,13/11,8/6,-,5/5,-,-
2010,1/2,0/1,-,1/1,-,-
