Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,361/316,221/167,101/85,39/61,0/3,-
2024,8/7,7/5,1/2,-,-,-
2023,0/3,-,-,0/3,-,-
2022,2/1,-,2/1,-,-,-
2020,6/5,2/3,4/2,-,-,-
2019,14/13,5/8,9/4,0/1,-,-
2018,9/14,4/10,5/4,-,-,-
2017,26/25,17/15,9/9,0/1,-,-
2016,28/30,13/12,11/13,4/4,0/1,-
2015,37/30,26/14,10/7,1/9,-,-
2014,23/35,5/11,14/13,4/9,0/2,-
2013,41/28,26/13,6/7,9/8,-,-
2012,32/25,19/15,12/8,1/2,-,-
2011,31/30,20/14,4/8,7/8,-,-
2010,44/23,26/16,9/2,9/5,-,-
2009,37/28,29/17,5/5,3/6,-,-
2008,18/13,18/10,-,0/3,-,-
2007,5/6,4/4,-,1/2,-,-
