Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,392/265,277/173,22/13,93/76,0/3,-
2024,23/18,21/12,-,2/6,-,-
2023,26/13,19/7,1/1,6/3,0/2,-
2022,26/29,21/19,1/3,4/6,0/1,-
2021,34/26,17/13,6/4,11/9,-,-
2020,22/13,15/8,7/2,0/3,-,-
2019,25/15,23/12,-,2/3,-,-
2018,43/22,22/14,0/1,21/7,-,-
2017,27/27,19/19,-,8/8,-,-
2016,33/28,24/17,0/1,9/10,-,-
2015,47/24,31/14,-,16/10,-,-
2014,37/15,29/12,7/1,1/2,-,-
2013,18/13,16/12,-,2/1,-,-
2012,27/18,19/12,-,8/6,-,-
2011,4/2,1/1,-,3/1,-,-
2010,0/2,0/1,-,0/1,-,-
