Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,414/286,305/182,71/64,5/12,19/13,14/15
2024,19/23,12/14,3/6,-,4/3,-
2023,42/25,18/11,22/12,-,-,2/2
2022,18/23,9/11,4/5,1/4,4/3,-
2021,21/18,15/9,2/6,0/1,3/1,1/1
2020,18/12,15/4,2/7,1/1,-,-
2019,36/28,21/8,8/11,3/3,2/4,2/2
2018,53/24,38/15,12/5,0/1,3/1,0/2
2017,22/23,6/12,11/8,0/1,3/1,2/1
2016,43/24,42/21,-,0/1,-,1/2
2015,35/27,30/26,2/1,-,-,3/0
2014,72/29,66/26,4/2,-,-,2/1
2013,24/16,22/12,1/1,-,-,1/3
2012,8/8,8/7,-,-,-,0/1
2011,2/4,2/4,-,-,-,-
2010,1/2,1/2,-,-,-,-
