Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
01.08.,Thanos A.,2,,,,,,[],"['2', '0', '5', '1']","['1', '0', '5', '2']",[],[],1.74
01.08.,Sigsgaard C.,1,,,,,,"['4', '2']",[],[],[],[],2.02
31.07.,Sigsgaard C.,2,,,,,,"['1', '0', '4', '1']","['1', '0', '5', '4']",[],[],[],1.07
31.07.,Pape V. F.,0,,,,,,[],"['1', '1']",[],[],[],7.48
29.07.,Sigsgaard C.,2,,,,,,"['2', '0', '4', '2', '6', '4']","['2', '0']",[],[],[],1.01
29.07.,Martin T.,0,,,,,,"['2', '3', '4', '5']","['3', '4']",[],[],[],10.70
05.07.,Marmousez L.,2,,,,,,"['1', '2', '3', '2', '5', '2']","['1', '0', '5', '4']",[],[],[],1.36
05.07.,Sigsgaard C.,0,,,,,,"['2', '0']","['1', '1']",[],[],[],2.99
04.07.,Sigsgaard C.,2,,,,,,"['1', '0', '3', '2']","['2', '1']",[],[],[],1.48
04.07.,Forger A.,0,,,,,,"['1', '1']","['5', '5']",[],[],[],2.50
03.07.,Sigsgaard C.,2,,,,,,"['1', '0', '4', '1']",[],[],[],[],1.22
03.07.,Vasquez A.,0,,,,,,[],[],[],[],[],3.91
01.07.,Sigsgaard C.,2,,,,,,"['1', '0', '4', '1']","['5', '4']",[],[],[],1.34
01.07.,Balciunas M.,0,,,,,,[],[],[],[],[],3.04
21.06.,Garcian A.,2,,,,,,"['1', '0', '2', '1', '5', '4']","['1', '0']",[],[],[],3.40
21.06.,Sigsgaard C.,0,,,,,,"['1', '1', '2', '2']","['4', '4']",[],[],[],1.28
20.06.,Sigsgaard C.,2,,,,,,"['2', '0', '3', '1']","['1', '0', '3', '0', '5', '0']",[],[],[],1.41
20.06.,Oetzbach A.,0,,,,,,"['1', '2']",[],[],[],[],2.73
19.06.,Sigsgaard C.,2,,,,,,"['7', '5']","['3', '3', '5', '5', '7', '5']",[],[],[],1.04
19.06.,Schifris J.,0,,,,,,[],"['2', '1', '4', '3']",[],[],[],8.10
18.06.,Sigsgaard C.,2,,,,,,[],"['2', '0']","['2', '1', '4', '1', '6', '1']",[],[],1.05
18.06.,Zick S.,1,,,,,,"['2', '0']","['3', '4']",[],[],[],7.70
21.04.,Kozlov S.,2,,,,,,3,0,78%,65% (32/49),43% (6/14),67% (6/9),41% (16/39),70% (14/20),71% (5/7),60% (38/63),51% (30/59),56% (68/122),6,0,70% (7/10),50% (5/10),60% (12/20),"['1', '0', '2', '1', '4', '1']","['1', '0', '3', '2']",[],[],[],1.74
21.04.,Sigsgaard C.,0,,,,,,3,6,66%,59% (23/39),30% (6/20),29% (2/7),35% (17/49),57% (8/14),33% (3/9),49% (29/59),40% (25/63),44% (54/122),4,0,50% (5/10),30% (3/10),40% (8/20),"['1', '1', '2', '4']","['2', '2']",[],[],[],2.00
20.04.,Sigsgaard C.,2,,,,,,3,2,62%,78% (25/32),80% (16/20),0% (0/0),29% (10/34),50% (18/36),60% (3/5),79% (41/52),40% (28/70),57% (69/122),7,0,100% (10/10),27% (3/11),62% (13/21),"['1', '0', '6', '3']","['7', '5']",[],[],[],1.79
20.04.,Zink T.,0,,,,,,2,7,49%,71% (24/34),50% (18/36),40% (2/5),22% (7/32),20% (4/20),0% (0/0),60% (42/70),21% (11/52),43% (53/122),3,1,73% (8/11),0% (0/10),38% (8/21),[],[],[],[],[],1.94
15.04.,Nava E.,2,,,,,,12,1,65%,81% (29/36),63% (12/19),0% (0/0),35% (18/51),54% (15/28),25% (2/8),75% (41/55),42% (33/79),55% (74/134),5,0,100% (10/10),20% (2/10),60% (12/20),"['4', '3']","['2', '1']",[],[],[],1.07
15.04.,Sigsgaard C.,0,,,,,,1,3,65%,65% (33/51),46% (13/28),75% (6/8),19% (7/36),37% (7/19),0% (0/0),58% (46/79),25% (14/55),45% (60/134),5,3,80% (8/10),0% (0/10),40% (8/20),[],[],[],[],[],6.90
