Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,54/34,9/5,45/29,-,-,-
2024,11/2,-,11/2,-,-,-
2022,26/13,9/4,17/9,-,-,-
2021,13/14,0/1,13/13,-,-,-
2020,0/1,-,0/1,-,-,-
2019,1/1,-,1/1,-,-,-
2017,3/3,-,3/3,-,-,-
