Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
28.05.,Kudernatsch M.,1,,,,,,"['5', '4']","['2', '3']",[],[],[],7.40
23.05.,Winter E.,2,,,,,,"['1', '1', '2', '2', '4', '4', '6', '4']","['2', '0', '5', '1']",[],[],[],2.03
23.05.,Polmans M.,0,,,,,,"['1', '0', '2', '1', '4', '3']",[],[],[],[],1.70
22.05.,Polmans M.,2,,,,,,"['2', '0', '5', '3']","['2', '1', '4', '1']","['3', '2', '5', '2']",[],[],1.67
22.05.,Matsuda R.,1,,,,,,"['3', '4']","['2', '4', '4', '4', '6', '4']",[],[],[],2.10
21.05.,Polmans M.,2,,,,,,"['2', '1', '6', '3']","['2', '0', '4', '0', '6', '0']",[],[],[],1.09
21.05.,Loizas A.,0,,,,,,[],[],[],[],[],6.10
21.04.,McCormick T.,2,,,,,,8,3,60%,70% (28/40),70% (19/27),100% (3/3),28% (11/40),64% (14/22),25% (3/12),70% (47/67),40% (25/62),56% (72/129),4,0,100% (10/10),30% (3/10),65% (13/20),"['6', '5']","['1', '0', '3', '0']",[],[],[],2.51
21.04.,Polmans M.,0,,,,,,1,4,65%,73% (29/40),36% (8/22),75% (9/12),30% (12/40),30% (8/27),0% (0/3),60% (37/62),30% (20/67),44% (57/129),6,4,70% (7/10),0% (0/10),35% (7/20),[],[],[],[],[],1.49
20.04.,Polmans M.,2,,,,,,4,1,69%,83% (34/41),50% (9/18),75% (3/4),30% (13/44),70% (16/23),38% (3/8),73% (43/59),43% (29/67),57% (72/126),5,0,90% (9/10),33% (3/9),63% (12/19),"['5', '3']","['2', '1', '5', '4']",[],[],[],1.62
20.04.,Tracy J.,0,,,,,,4,4,66%,70% (31/44),30% (7/23),63% (5/8),17% (7/41),50% (9/18),25% (1/4),57% (38/67),27% (16/59),43% (54/126),5,4,67% (6/9),10% (1/10),37% (7/19),[],"['2', '2']",[],[],[],2.21
14.04.,Poling K.,2,,,,,,4,2,62%,68% (36/53),56% (18/32),60% (3/5),30% (16/54),63% (15/24),67% (4/6),64% (54/85),40% (31/78),52% (85/163),8,0,85% (11/13),29% (4/14),56% (15/27),"['3', '2']",[],"['2', '2', '4', '2', '6', '2']",[],[],2.18
14.04.,Polmans M.,1,,,,,,7,3,69%,70% (38/54),38% (9/24),33% (2/6),32% (17/53),44% (14/32),40% (2/5),60% (47/78),36% (31/85),48% (78/163),2,0,71% (10/14),15% (2/13),44% (12/27),[],"['3', '1']","['1', '0']",[],[],1.64
13.04.,Polmans M.,2,,,,,,2,5,73%,70% (39/56),52% (11/21),60% (3/5),36% (15/42),42% (11/26),60% (3/5),65% (50/77),38% (26/68),52% (76/145),8,0,82% (9/11),27% (3/11),55% (12/22),"['5', '5']","['2', '1', '5', '4']",[],[],[],1.60
