Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,356/287,97/76,215/170,16/17,28/24,-
2024,16/26,4/4,10/17,-,2/5,-
2023,50/35,14/9,32/23,2/1,2/2,-
2022,18/13,-,14/12,4/1,-,-
2021,21/30,9/14,6/7,2/6,4/3,-
2020,15/17,5/4,6/7,4/6,-,-
2019,37/29,4/8,28/18,4/1,1/2,-
2018,52/29,20/11,19/14,-,13/4,-
2017,36/36,20/7,13/23,0/2,3/4,-
2016,64/23,7/6,57/16,-,0/1,-
2015,21/20,8/7,12/12,-,1/1,-
2014,10/14,2/3,8/11,-,-,-
2013,9/8,4/2,5/5,-,0/1,-
2012,6/5,0/1,4/3,-,2/1,-
2011,1/2,-,1/2,-,-,-
