Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,73/84,32/44,31/28,10/12,-,-
2024,27/20,15/11,5/4,7/5,-,-
2023,15/18,4/5,8/8,3/5,-,-
2022,18/16,8/9,10/7,-,-,-
2021,13/30,5/19,8/9,0/2,-,-
