Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,434/240,169/126,252/102,1/4,-,12/8
2024,8/9,4/5,4/4,-,-,-
2023,7/6,6/5,0/1,-,-,1/0
2022,14/14,3/5,11/8,-,-,0/1
2021,5/4,2/3,3/1,-,-,-
2020,14/9,2/2,11/5,1/1,-,0/1
2019,55/21,16/13,39/7,-,-,0/1
2018,43/22,9/5,32/14,0/1,-,2/2
2017,58/24,12/11,42/12,0/1,-,4/0
2016,59/24,9/8,49/15,-,-,1/1
2015,55/29,12/7,41/22,-,-,2/0
2014,21/19,17/11,4/6,0/1,-,0/1
2013,34/18,34/18,-,-,-,-
2012,19/13,9/8,8/4,-,-,2/1
2011,25/11,17/9,8/2,-,-,-
2010,15/9,15/8,0/1,-,-,-
2009,2/7,2/7,-,-,-,-
2008,0/1,0/1,-,-,-,-
