Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,507/328,309/166,137/81,35/50,10/17,16/14
2023,38/19,30/10,6/5,2/4,-,-
2022,1/2,1/2,-,-,-,-
2021,2/2,2/2,-,-,-,-
2019,14/25,9/16,3/3,2/4,0/2,-
2018,36/18,25/8,5/6,5/3,-,1/1
2017,28/12,22/9,5/1,-,-,1/2
2016,18/29,7/15,7/7,3/5,0/1,1/1
2015,54/32,33/19,18/6,0/3,2/2,1/2
2014,30/24,14/8,12/11,3/2,1/1,0/2
2013,33/29,20/15,7/5,3/5,1/4,2/0
2012,55/20,43/12,9/5,0/2,-,3/1
2011,11/17,7/9,2/7,1/1,-,1/0
2010,30/24,9/4,14/11,2/5,3/3,2/1
2009,50/22,41/13,3/2,2/3,3/1,1/3
2008,46/16,24/8,13/4,6/3,-,3/1
2007,23/22,17/11,0/2,6/7,0/2,-
2006,22/11,5/5,17/3,0/2,0/1,-
2005,16/3,-,16/3,-,-,-
2004,0/1,-,-,0/1,-,-
