Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,210/147,68/53,94/62,41/23,7/9,-
2024,30/27,9/9,18/16,-,3/2,-
2023,32/30,11/11,20/14,1/2,0/3,-
2022,33/27,6/10,14/12,10/3,3/2,-
2021,25/22,10/7,9/7,5/6,1/2,-
2020,16/10,7/2,5/5,4/3,-,-
2019,53/19,10/7,25/7,18/5,-,-
2018,16/6,10/3,3/1,3/2,-,-
2017,2/4,2/2,-,0/2,-,-
2016,3/2,3/2,-,-,-,-
