Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,127/101,67/38,60/63,-,-,-
2024,25/17,10/4,15/13,-,-,-
2023,5/5,1/1,4/4,-,-,-
2022,3/8,0/1,3/7,-,-,-
2021,11/11,-,11/11,-,-,-
2020,0/1,-,0/1,-,-,-
2019,11/13,4/5,7/8,-,-,-
2018,17/15,8/6,9/9,-,-,-
2017,45/22,37/15,8/7,-,-,-
2016,1/2,0/1,1/1,-,-,-
2015,9/7,7/5,2/2,-,-,-
