Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,34/34,21/22,13/12,-,-,-
2024,6/16,6/14,0/2,-,-,-
2023,23/16,10/6,13/10,-,-,-
2022,2/1,2/1,-,-,-,-
2020,3/1,3/1,-,-,-,-
