Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,22/25,2/4,11/9,-,-,9/12
2024,14/11,2/3,11/7,-,-,1/1
2023,3/4,0/1,-,-,-,3/3
2022,5/8,-,-,-,-,5/8
2021,0/2,-,0/2,-,-,-
