Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,94/64,88/60,6/4,-,-,-
2024,22/18,22/17,0/1,-,-,-
2023,34/23,34/23,-,-,-,-
2022,27/17,21/14,6/3,-,-,-
2021,11/6,11/6,-,-,-,-
