Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,15/14,-,13/12,-,-,2/2
2024,1/1,-,1/1,-,-,-
2023,2/2,-,-,-,-,2/2
2022,7/5,-,7/5,-,-,-
2021,3/3,-,3/3,-,-,-
2020,2/3,-,2/3,-,-,-
