Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,50/55,0/9,50/46,-,-,-
2024,8/9,0/2,8/7,-,-,-
2023,8/18,0/1,8/17,-,-,-
2022,34/22,-,34/22,-,-,-
2019,0/1,0/1,-,-,-,-
2018,0/5,0/5,-,-,-,-
