Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,38/44,12/22,25/17,1/5,-,-
2024,12/21,7/15,5/6,-,-,-
2023,25/22,5/7,20/11,0/4,-,-
2022,1/1,-,-,1/1,-,-
