https://www.tennisexplorer.com/res/img/player/8psXci1R-IBWBKYHo.jpeg
Torres Murcia Maria Camila
Country: Colombia
Current/Highest rank - singles: 1110. / 807.
Current/Highest rank - doubles: 959. / 572.
Sex: woman
Plays: right
