Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
24.10.2024,Xiao L.,2,,,,,,"['2', '0', '5', '5', '6', '6']","['1', '0', '3', '0', '6', '5']",[],[],[],1.86
24.10.2024,Barki J.,0,,,,,,"['2', '3', '4', '3', '6', '5']","['3', '5', '5', '5']",[],[],[],1.84
22.10.2024,Barki J.,2,,,,,,"['5', '3', '6', '4']","['2', '0', '4', '0']",[],[],[],1.35
22.10.2024,Jin Y.,0,,,,,,"['4', '5']",[],[],[],[],2.99
26.09.2024,Ganesan A.,2,,,,,,[],"['2', '1', '4', '1', '6', '1']","['3', '1', '6', '4']",[],[],2.24
26.09.2024,Barki J.,1,,,,,,"['2', '1', '6', '3']",[],"['3', '4']",[],[],1.59
24.09.2024,Barki J.,2,,,,,,[],"['4', '5', '6', '5']",[],[],[],1.10
24.09.2024,Yu B.,1,,,,,,"['1', '0', '6', '3']","['4', '2']",[],[],[],6.12
21.09.2024,Dougaz A.,2,,,,,,"['3', '1']","['2', '1', '4', '1']",[],[],[],1.35
21.09.2024,Barki J.,0,,,,,,[],[],[],[],[],2.99
20.09.2024,Barki J.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['3', '2']",[],[],[],1.91
20.09.2024,Leong M. W. K.,0,,,,,,[],[],[],[],[],1.81
19.09.2024,Barki J.,2,,,,,,"['6', '4']",[],[],[],[],1.61
19.09.2024,Lee K.,0,,,,,,[],[],[],[],[],2.22
17.09.2024,Barki J.,2,,,,,,[],"['4', '2']","['6', '5']",[],[],3.69
17.09.2024,Sasikumar M.,1,,,,,,"['2', '0', '4', '0']",[],[],[],[],1.25
16.10.2023,Gerasimov E.,2,,,,,,3,2,70%,73% (29/40),47% (8/17),80% (4/5),39% (12/31),65% (20/31),50% (5/10),65% (37/57),52% (32/62),58% (69/119),89% (8/9),50% (5/10),68% (13/19),"['3', '4', '6', '5']","['2', '1', '4', '1', '6', '1']",[],[],[],1.27
16.10.2023,Barki J.,0,,,,,,2,4,50%,61% (19/31),35% (11/31),50% (5/10),28% (11/40),53% (9/17),20% (1/5),48% (30/62),35% (20/57),42% (50/119),50% (5/10),11% (1/9),32% (6/19),"['3', '1']",[],[],[],[],3.56
15.10.2023,Barki J.,2,,,,,,1,5,46%,79% (15/19),55% (12/22),60% (3/5),60% (18/30),66% (19/29),41% (7/17),66% (27/41),63% (37/59),64% (64/100),71% (5/7),88% (7/8),80% (12/15),"['1', '2', '3', '2', '5', '2', '6', '3']","['2', '0', '4', '0', '6', '0']",[],[],[],1.05
15.10.2023,De Cuyper J.,0,,,,,,3,8,51%,40% (12/30),34% (10/29),59% (10/17),21% (4/19),45% (10/22),40% (2/5),37% (22/59),34% (14/41),36% (36/100),13% (1/8),29% (2/7),20% (3/15),"['2', '0', '3', '5']",[],[],[],[],8.40
11.09.2023,Yin B. S.,2,,,,,,8,5,63%,82% (45/55),34% (11/32),85% (11/13),26% (14/53),59% (22/37),50% (3/6),64% (56/87),40% (36/90),52% (92/177),83% (10/12),25% (3/12),54% (13/24),"['3', '1', '6', '6']","['6', '5']",[],[],[],2.66
11.09.2023,Barki J.,0,,,,,,5,5,59%,74% (39/53),41% (15/37),50% (3/6),18% (10/55),66% (21/32),15% (2/13),60% (54/90),36% (31/87),48% (85/177),75% (9/12),17% (2/12),46% (11/24),"['4', '5', '6', '5']",[],[],[],[],1.44
10.09.2023,Barki J.,2,,,,,,2,2,62%,76% (25/33),75% (15/20),100% (2/2),29% (10/35),67% (14/21),43% (3/7),75% (40/53),43% (24/56),59% (64/109),100% (9/9),33% (3/9),67% (12/18),"['4', '3']","['1', '0', '3', '0']",[],[],[],1.33
10.09.2023,Dong B.,0,,,,,,1,1,63%,71% (25/35),33% (7/21),57% (4/7),24% (8/33),25% (5/20),0% (0/2),57% (32/56),25% (13/53),41% (45/109),67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],3.15
28.06.2023,Singh K.,2,,,,,,[],[],[],[],[],2.38
28.06.2023,Barki J.,0,,,,,,[],[],[],[],[],1.53
18.06.2023,Jasika O.,2,,,,,,[],[],[],[],[],1.20
18.06.2023,Barki J.,0,,,,,,[],[],[],[],[],4.23
17.06.2023,Barki J.,2,,,,,,[],[],[],[],[],-
17.06.2023,Dzhavakian Y.,1,,,,,,[],[],[],[],[],-
17.06.2023,Barki J.,2,,,,,,[],[],[],[],[],1.33
17.06.2023,Kawachi K.,0,,,,,,[],[],[],[],[],3.10
15.06.2023,Barki J.,0,,,,,,[],[],[],[],[],4.28
15.06.2023,Erel Y.,0,,,,,,[],[],[],[],[],1.19
14.06.2023,Barki J.,2,,,,,,[],[],[],[],[],1.29
14.06.2023,Banthia S.,0,,,,,,[],[],[],[],[],3.34
18.09.2021,King D.,2,,,,,,"['3', '2', '5', '2']","['3', '4', '5', '4']",[],[],[],1.10
18.09.2021,Barki J.,0,,,,,,[],"['4', '2']",[],[],[],6.35
17.09.2021,Barki J.,2,,,,,,"['2', '1', '4', '1']","['4', '3']",[],[],[],-
17.09.2021,Marshall K.,0,,,,,,[],[],[],[],[],-
