Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,544/324,308/183,126/54,74/65,27/14,9/8
2024,16/18,11/11,5/5,0/1,0/1,-
2023,40/28,14/15,12/3,10/6,4/2,0/2
2022,35/30,23/17,2/2,5/9,4/1,1/1
2021,27/30,10/13,1/3,14/9,2/3,0/2
2020,29/21,13/9,8/6,6/6,-,2/0
2019,45/26,16/10,0/2,18/10,9/3,2/1
2018,47/26,24/13,6/4,9/8,5/1,3/0
2017,61/16,58/15,-,3/1,-,-
2016,47/33,20/20,23/7,1/3,2/1,1/2
2015,60/28,24/19,34/7,2/2,-,-
2014,55/23,49/16,3/2,3/5,-,-
2013,44/21,21/8,19/6,3/5,1/2,-
2012,36/19,25/13,11/6,-,-,-
2011,2/5,0/4,2/1,-,-,-
