Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,513/369,9/18,470/321,23/20,5/7,6/3
2024,1/4,0/1,1/3,-,-,-
2023,26/13,-,26/13,-,-,-
2022,22/14,-,22/13,0/1,-,-
2021,1/2,-,1/1,0/1,-,-
2020,9/6,-,6/5,3/1,-,-
2019,36/33,1/2,34/27,0/1,0/1,1/2
2018,41/31,0/2,38/26,3/3,-,-
2017,45/25,-,42/23,1/2,-,2/0
2016,25/32,2/5,20/22,0/1,3/4,-
2015,59/30,2/2,55/25,1/2,-,1/1
2014,36/17,-,36/17,-,-,-
2013,9/15,-,7/14,2/1,-,-
2012,42/19,-,41/18,1/1,-,-
2011,36/20,-,31/18,5/2,-,-
2010,30/19,-,28/18,2/1,-,-
2009,13/19,-,13/19,-,-,-
2008,26/17,0/1,22/14,-,2/2,2/0
2007,19/18,-,19/18,-,-,-
2006,25/20,4/5,16/12,5/3,-,-
2005,5/7,-,5/7,-,-,-
2004,7/6,-,7/6,-,-,-
2003,0/2,-,0/2,-,-,-
