Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,93/81,79/70,14/11,-,-,-
2024,17/11,17/11,-,-,-,-
2023,29/22,22/18,7/4,-,-,-
2022,12/6,9/5,3/1,-,-,-
2021,14/20,14/19,0/1,-,-,-
2020,13/13,9/8,4/5,-,-,-
2019,5/4,5/4,-,-,-,-
2018,3/2,3/2,-,-,-,-
2017,0/1,0/1,-,-,-,-
2016,0/2,0/2,-,-,-,-
