Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,203/121,103/59,54/38,45/22,1/2,-
2024,34/22,20/13,4/6,10/3,-,-
2023,43/26,18/11,1/2,23/11,1/2,-
2022,59/26,41/15,10/8,8/3,-,-
2021,38/24,16/14,18/6,4/4,-,-
2020,12/10,-,12/10,-,-,-
2019,17/11,8/5,9/6,-,-,-
2018,0/1,0/1,-,-,-,-
2016,0/1,-,-,0/1,-,-
