Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,238/105,210/87,27/18,-,-,1/0
2024,43/20,43/19,0/1,-,-,-
2023,55/22,41/13,13/9,-,-,1/0
2022,58/24,58/24,-,-,-,-
2021,41/19,41/16,0/3,-,-,-
2020,22/8,8/3,14/5,-,-,-
2019,10/7,10/7,-,-,-,-
2018,5/1,5/1,-,-,-,-
2017,3/3,3/3,-,-,-,-
2016,1/1,1/1,-,-,-,-
