Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
26.08.,Mikovic N.,2,,,,,,"['1', '0', '3', '0']","['3', '4']","['2', '0', '4', '0', '6', '0']",[],[],-
26.08.,Verbin P.,1,,,,,,[],"['4', '2', '5', '3']",[],[],[],-
20.08.,Cuenin S.,2,,,,,,"['2', '0', '3', '1', '6', '2']","['2', '0', '4', '0', '5', '1']",[],[],[],1.07
20.08.,Verbin P.,0,,,,,,"['1', '2']","['1', '4']",[],[],[],6.80
23.04.,Fomin S.,2,,,,,,"['2', '1', '4', '1']","['1', '0', '3', '0', '5', '0']",[],[],[],1.08
23.04.,Verbin P.,0,,,,,,"['3', '5']",[],[],[],[],6.25
20.02.,Cretu C.,2,,,,,,"['2', '1', '4', '1']","['1', '0', '3', '0', '4', '1']",[],[],[],1.13
20.02.,Verbin P.,0,,,,,,[],"['1', '3']",[],[],[],5.05
19.02.,Verbin P.,2,,,,,,[],"['2', '0', '4', '0']","['5', '4']",[],[],3.20
19.02.,Rocha F.,1,,,,,,"['1', '0', '3', '0', '5', '0']",[],"['5', '5']",[],[],1.31
18.12.2024,Lee D. H.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '4', '3', '5', '4']",[],[],[],1.59
18.12.2024,Verbin P.,0,,,,,,[],"['3', '3', '4', '4']",[],[],[],2.24
07.11.2024,Kamrowski M.,2,,,,,,"['1', '0', '4', '1']","['1', '0']","['1', '1']",[],[],2.00
07.11.2024,Verbin P.,1,,,,,,[],"['3', '3', '5', '3']","['1', '0']",[],[],1.72
06.11.2024,Verbin P.,2,,,,,,"['4', '4', '6', '4']","['2', '0']",[],[],[],2.10
06.11.2024,Ribecai M.,0,,,,,,"['3', '2']",[],[],[],[],1.67
31.10.2024,Dzhavakian Y.,2,,,,,,"['2', '0', '4', '0', '6', '2']","['5', '3']",[],[],[],-
31.10.2024,Verbin P.,0,,,,,,"['1', '4']",[],[],[],[],-
30.10.2024,Verbin P.,2,,,,,,"['3', '2']","['4', '5']","['6', '5']",[],[],2.08
30.10.2024,Mbithi M.,1,,,,,,[],"['5', '3', '7', '5']",[],[],[],1.69
23.10.2024,Ursu V.,2,,,,,,"['3', '4', '5', '4']","['3', '4']",[],[],[],1.18
23.10.2024,Verbin P.,0,,,,,,"['4', '2']","['2', '0']",[],[],[],4.43
12.09.2024,Paz J. P.,2,,,,,,"['4', '4', '6', '4']","['2', '0', '4', '0']",[],[],[],1.63
12.09.2024,Verbin P.,0,,,,,,"['3', '2']",[],[],[],[],2.18
07.09.2024,Latinovic S.,2,,,,,,"['2', '4']","['2', '0']","['3', '2', '5', '4']",[],[],2.24
07.09.2024,Verbin P.,1,,,,,,"['1', '0', '4', '1']","['3', '4']","['3', '3']",[],[],1.60
06.09.2024,Verbin P.,2,,,,,,"['2', '2', '5', '3']","['4', '3']",[],[],[],2.28
06.09.2024,Pisaric A.,0,,,,,,"['2', '1']",[],[],[],[],1.58
05.09.2024,Verbin P.,2,,,,,,"['2', '0']","['4', '3', '6', '3']",[],[],[],1.59
05.09.2024,Bellifemine A.,0,,,,,,[],[],[],[],[],2.26
04.09.2024,Verbin P.,1,,,,,,[],"['6', '4']","['2', '0']",[],[],4.42
04.09.2024,Popovic S.,1,,,,,,"['3', '2', '5', '2']",[],[],[],[],1.18
29.08.2024,Donev G.,2,,,,,,"['2', '1', '5', '2']","['1', '0', '3', '0', '5', '0']",[],[],[],-
29.08.2024,Verbin P.,0,,,,,,[],[],[],[],[],-
27.08.2024,Verbin P.,2,,,,,,"['3', '1', '5', '1', '6', '2']","['3', '1', '5', '1']",[],[],[],5.83
27.08.2024,Paz J. P.,0,,,,,,"['2', '5']",[],[],[],[],1.11
08.08.2024,Fajta P.,2,,,,,,[],"['6', '5']",[],[],[],1.12
08.08.2024,Verbin P.,0,,,,,,[],[],[],[],[],5.56
06.08.2024,Verbin P.,2,,,,,,"['2', '2']","['4', '3', '5', '4']","['2', '1']",[],[],3.69
06.08.2024,Stater A.,1,,,,,,"['1', '0', '4', '3', '6', '3']","['4', '4']",[],[],[],1.25
31.07.2024,Tessa L.,2,,,,,,"['4', '5']","['5', '3']",[],[],[],1.60
31.07.2024,Verbin P.,0,,,,,,"['4', '2']",[],[],[],[],2.24
04.05.2023,Oberleitner N.,2,,,,,,[],[],[],[],[],1.20
04.05.2023,Verbin P.,0,,,,,,[],[],[],[],[],4.22
03.05.2023,Verbin P.,2,,,,,,[],[],[],[],[],2.06
03.05.2023,Gaal C.,0,,,,,,[],[],[],[],[],1.68
