Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,387/316,264/191,101/96,2/14,11/10,9/5
2024,23/27,16/18,5/7,-,2/2,-
2023,32/34,23/19,3/11,0/1,5/2,1/1
2022,50/28,34/17,14/7,0/3,1/1,1/0
2021,29/32,20/16,6/9,0/3,2/3,1/1
2020,31/18,15/7,14/8,0/3,-,2/0
2019,33/26,26/14,5/9,-,1/1,1/2
2018,25/21,15/7,6/11,1/1,0/1,3/1
2017,47/34,34/24,12/8,1/2,-,-
2016,52/33,38/26,14/6,0/1,-,-
2015,26/14,13/10,13/4,-,-,-
2014,13/20,10/15,3/5,-,-,-
2013,19/21,13/10,6/11,-,-,-
2012,6/6,6/6,-,-,-,-
2011,1/2,1/2,-,-,-,-
