Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,441/215,253/108,152/81,5/9,30/16,1/1
2024,1/2,-,1/2,-,-,-
2023,25/19,7/6,10/9,-,8/4,-
2022,50/22,20/5,17/10,3/4,9/2,1/1
2021,25/15,-,23/12,2/3,-,-
2020,17/7,-,17/6,0/1,-,-
2019,14/11,2/3,8/4,-,4/4,-
2018,46/25,0/3,40/18,0/1,6/3,-
2017,36/11,18/7,18/4,-,-,-
2016,10/5,10/5,-,-,-,-
2015,10/15,9/12,0/1,-,1/2,-
2014,68/23,68/23,-,-,-,-
2013,36/12,36/12,-,-,-,-
2012,38/13,36/12,-,-,2/1,-
2011,28/10,28/10,-,-,-,-
2010,24/16,19/10,5/6,-,-,-
2009,4/4,-,4/4,-,-,-
2008,9/5,-,9/5,-,-,-
