Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
WTA - SINGLES :  US Open (USA),hard,header
26.08. 20:40,Sakkari M.,0,2,,,,,0,2,64%,69% (11/16),22% (2/9),60% (3/5),24% (4/17),43% (3/7),0% (0/3),2,14,100% (1/1),7,52% (13/25),29% (7/24),41% (20/49),1,50% (2/4),0% (0/4),25% (2/8),[],[],[],[],[],1.31
26.08. 20:40,Wang Y.,1,6,,,,,2,1,71%,76% (13/17),57% (4/7),100% (3/3),31% (5/16),78% (7/9),40% (2/5),8,5,100% (2/2),8,71% (17/24),48% (12/25),59% (29/49),3,100% (4/4),50% (2/4),75% (6/8),"['1', '0', '4', '1']",[],[],[],[],3.53
WTA - SINGLES :  Olympic Games (World),clay,header
30.07. 19:05,Sakkari M.,1,6,6^5,4,,,3,8,56%,44% (32/72),43% (24/56),47% (9/19),45% (30/66),77% (24/31),83% (10/12),28,55,68% (21/31),7,44% (56/128),56% (54/97),49% (110/225),5,38% (6/16),63% (10/16),50% (16/32),"['1', '3', '3', '3', '5', '3', '6', '4']","['2', '2', '3', '3', '4', '4']","['1', '0', '2', '3', '4', '5']",[],[],1.54
30.07. 19:05,Kostyuk M.,2,4,7^7,6,,,0,13,68%,55% (36/66),23% (7/31),17% (2/12),56% (40/72),57% (32/56),53% (10/19),31,47,80% (20/25),6,44% (43/97),56% (72/128),51% (115/225),3,38% (6/16),63% (10/16),50% (16/32),"['1', '0', '3', '0', '4', '5']","['1', '0', '3', '2', '4', '3']","['1', '1', '3', '1', '5', '3', '6', '4']",[],[],2.51
29.07. 18:10,Sakkari M.,2,6,6,,,,4,2,50%,79% (15/19),68% (13/19),0% (0/2),65% (17/26),47% (7/15),56% (5/9),19,8,80% (4/5),12,73% (29/40),60% (25/42),65% (53/82),4,88% (7/8),71% (5/7),80% (12/15),"['3', '1', '6', '2']","['2', '0', '3', '1', '5', '1']",[],[],[],1.18
29.07. 18:10,Yuan Y.,0,2,1,,,,1,1,63%,35% (9/26),53% (8/15),44% (4/9),21% (4/19),32% (6/19),100% (2/2),9,14,50% (2/4),4,40% (17/42),28% (11/40),35% (29/82),1,29% (2/7),13% (1/8),20% (3/15),[],"['1', '2']",[],[],[],5.05
28.07. 15:40,Sakkari M.,2,6,6,,,,2,4,63%,78% (21/27),50% (8/16),80% (4/5),67% (12/18),93% (13/14),60% (6/10),13,14,63% (5/8),12,67% (29/43),78% (25/32),72% (54/75),6,86% (6/7),100% (6/6),92% (12/13),"['2', '0', '4', '0', '6', '0']","['1', '1', '3', '1', '5', '1']",[],[],[],1.03
28.07. 15:40,Kovinic D.,0,0,1,,,,0,4,56%,33% (6/18),7% (1/14),40% (4/10),22% (6/27),50% (8/16),20% (1/5),5,28,60% (3/5),3,22% (7/32),33% (14/43),28% (21/75),1,0% (0/6),14% (1/7),8% (1/13),[],"['1', '0']",[],[],[],12.90
WTA - SINGLES :  Wimbledon (United Kingdom),grass,header
05.07. 22:20,Sakkari M.,0,2,3,,,,2,6,58%,69% (25/36),27% (7/26),56% (5/9),29% (13/45),50% (7/14),0% (0/7),20,31,90% (9/10),5,52% (32/62),34% (20/59),43% (52/121),1,56% (5/9),0% (0/8),29% (5/17),1760,[],[],[],[],[],2.22
05.07. 22:20,Raducanu E.,2,6,6,,,,3,3,76%,71% (32/45),50% (7/14),100% (7/7),31% (11/36),73% (19/26),44% (4/9),15,13,25% (1/4),7,66% (39/59),48% (30/62),57% (69/121),3,100% (8/8),44% (4/9),71% (12/17),1848,"['1', '0', '5', '2']","['2', '1', '6', '3']",[],[],[],1.68
03.07. 22:00,Sakkari M.,2,7,6,,,,5,2,55%,83% (30/36),60% (18/30),100% (2/2),29% (12/41),63% (10/16),67% (2/3),21,17,58% (7/12),13,73% (48/66),39% (22/57),57% (70/123),3,100% (11/11),20% (2/10),62% (13/21),1541,"['7', '5']","['5', '3']",[],[],[],1.15
03.07. 22:00,Rus A.,0,5,3,,,,5,3,72%,71% (29/41),38% (6/16),33% (1/3),17% (6/36),40% (12/30),0% (0/2),16,19,67% (6/9),5,61% (35/57),27% (18/66),43% (53/123),1,80% (8/10),0% (0/11),38% (8/21),1579,[],[],[],[],[],5.55
01.07. 15:35,Sakkari M.,2,6,6,,,,5,2,48%,78% (18/23),48% (12/25),60% (3/5),46% (12/26),77% (17/22),75% (6/8),24,23,89% (8/9),8,63% (30/48),60% (29/48),61% (59/96),5,75% (6/8),75% (6/8),75% (12/16),1411,"['3', '3', '5', '3']","['1', '0', '2', '1', '4', '1', '6', '1']",[],[],[],1.20
01.07. 15:35,Kessler M.,0,3,1,,,,2,3,54%,54% (14/26),23% (5/22),25% (2/8),17% (4/23),52% (13/25),40% (2/5),4,15,23% (3/13),5,40% (19/48),38% (18/48),39% (37/96),2,25% (2/8),25% (2/8),25% (4/16),1485,"['3', '2']","['1', '1']",[],[],[],4.76
WTA - SINGLES :  Bad Homburg (Germany),grass,header
24.06. 15:30,Sakkari M.,1,6,2,6^4,,,6,5,67%,64% (47/74),39% (14/36),50% (4/8),35% (18/51),48% (21/44),44% (4/9),6,55% (61/110),40% (38/94),49% (99/204),3,71% (10/14),29% (4/14),50% (14/28),"['1', '0', '5', '2']",[],"['3', '4', '4', '5']",[],[],0
24.06. 15:30,Niemeier J.,2,2,6,7^7,,,6,4,54%,65% (33/51),52% (23/44),56% (5/9),36% (27/74),61% (22/36),50% (4/8),6,60% (56/94),45% (49/110),51% (105/204),3,71% (10/14),29% (4/14),50% (14/28),[],"['3', '1', '6', '2']","['4', '2', '5', '3']",[],[],0
WTA - SINGLES :  Berlin (Germany),grass,header
18.06. 19:30,Sakkari M.,0,4,2,,,,7,7,50%,71% (24/34),38% (13/34),67% (6/9),20% (7/35),44% (11/25),0% (0/2),4,54% (37/68),30% (18/60),43% (55/128),1,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],2.12
18.06. 19:30,Azarenka V.,2,6,6,,,,3,4,58%,80% (28/35),56% (14/25),100% (2/2),29% (10/34),62% (21/34),33% (3/9),7,70% (42/60),46% (31/68),57% (73/128),5,100% (9/9),33% (3/9),67% (12/18),"['4', '3']","['1', '0', '3', '0']",[],[],[],1.74
WTA - SINGLES :  French Open (France),clay,header
27.05. 22:15,Sakkari M.,1,6,4,3,,,5,6,51%,67% (31/46),40% (18/45),17% (1/6),44% (28/63),32% (10/31),27% (4/15),27,39,83% (10/12),4,54% (49/91),40% (38/94),47% (87/185),3,64% (9/14),29% (4/14),46% (13/28),"['1', '1', '4', '2', '5', '3']","['3', '4']",[],[],[],1.18
27.05. 22:15,Gracheva V.,2,3,6,6,,,3,2,67%,56% (35/63),68% (21/31),73% (11/15),37% (17/46),60% (27/45),83% (5/6),20,24,53% (8/15),6,60% (56/94),46% (42/91),53% (98/185),3,71% (10/14),36% (5/14),54% (15/28),"['1', '0', '3', '4']","['3', '1', '6', '4']","['4', '2']",[],[],5.05
WTA - SINGLES :  Rome (Italy),clay,header
14.05. 01:40,Sakkari M.,0,4,1,,,,2,1,49%,56% (15/27),29% (8/28),40% (4/10),35% (13/37),40% (4/10),67% (2/3),4,42% (23/55),36% (17/47),39% (40/102),3,33% (3/9),25% (2/8),29% (5/17),"['1', '3', '3', '3']",[],[],[],[],1.46
14.05. 01:40,Azarenka V.,2,6,6,,,,0,1,79%,65% (24/37),60% (6/10),33% (1/3),44% (12/27),71% (20/28),60% (6/10),8,64% (30/47),58% (32/55),61% (62/102),4,75% (6/8),67% (6/9),71% (12/17),"['1', '0', '3', '0', '4', '3']","['1', '0', '4', '1', '6', '1']",[],[],[],2.78
12.05. 14:35,Sakkari M.,2,7^7,6,,,,3,3,64%,86% (36/42),33% (8/24),83% (5/6),46% (22/48),50% (11/22),50% (4/8),8,67% (44/66),47% (33/70),57% (77/136),7,89% (8/9),44% (4/9),67% (12/18),"['4', '4']","['1', '0', '3', '0', '5', '0']",[],[],[],1.33
12.05. 14:35,Kalinina A.,0,6^4,0,,,,1,1,69%,54% (26/48),50% (11/22),50% (4/8),14% (6/42),67% (16/24),17% (1/6),5,53% (37/70),33% (22/66),43% (59/136),2,56% (5/9),11% (1/9),33% (6/18),"['4', '3']",[],[],[],[],3.39
10.05. 14:40,Sakkari M.,2,6,6,,,,3,3,56%,68% (23/34),67% (18/27),100% (4/4),53% (20/38),47% (7/15),44% (4/9),8,67% (41/61),51% (27/53),60% (68/114),5,100% (8/8),50% (4/8),75% (12/16),"['2', '1', '5', '2']","['2', '1', '4', '1']",[],[],[],1.18
10.05. 14:40,Gracheva V.,0,2,2,,,,0,1,72%,47% (18/38),53% (8/15),56% (5/9),32% (11/34),33% (9/27),0% (0/4),5,49% (26/53),33% (20/61),40% (46/114),1,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],5.05
WTA - SINGLES :  Madrid (Spain),clay,header
29.04. 14:40,Sakkari M.,0,4,4,,,,3,3,70%,62% (29/47),35% (7/20),56% (5/9),30% (14/46),63% (12/19),33% (2/6),4,54% (36/67),40% (26/65),47% (62/132),2,60% (6/10),20% (2/10),40% (8/20),"['3', '5']","['3', '5']",[],[],[],1.46
29.04. 14:40,Haddad Maia B.,2,6,6,,,,3,6,71%,70% (32/46),37% (7/19),67% (4/6),38% (18/47),65% (13/20),44% (4/9),7,60% (39/65),46% (31/67),53% (70/132),3,80% (8/10),40% (4/10),60% (12/20),"['2', '1', '5', '2']","['2', '1', '5', '2']",[],[],[],2.78
27.04. 16:40,Sakkari M.,2,6,6,,,,2,2,58%,77% (20/26),58% (11/19),67% (2/3),53% (18/34),71% (5/7),71% (5/7),10,69% (31/45),56% (23/41),63% (54/86),6,88% (7/8),63% (5/8),75% (12/16),"['3', '1', '5', '1']","['1', '0', '4', '3', '6', '3']",[],[],[],1.63
27.04. 16:40,Stephens S.,0,1,3,,,,1,0,83%,47% (16/34),29% (2/7),29% (2/7),23% (6/26),42% (8/19),33% (1/3),6,44% (18/41),31% (14/45),37% (32/86),2,38% (3/8),13% (1/8),25% (4/16),[],"['1', '1']",[],[],[],2.32
25.04. 14:40,Sakkari M.,2,6,6,,,,7,1,58%,70% (21/30),68% (15/22),0% (0/1),44% (16/36),70% (14/20),44% (4/9),6,69% (36/52),54% (30/56),61% (66/108),5,89% (8/9),50% (4/8),71% (12/17),"['1', '1', '5', '3']","['1', '0', '5', '2']",[],[],[],1.46
25.04. 14:40,Vekic D.,0,3,2,,,,2,1,64%,56% (20/36),30% (6/20),56% (5/9),30% (9/30),32% (7/22),100% (1/1),4,46% (26/56),31% (16/52),39% (42/108),1,50% (4/8),11% (1/9),29% (5/17),"['1', '0']",[],[],[],[],2.78
WTA - SINGLES :  Billie Jean King Cup - Group I (World) - Placement matches,-,header
12.04. 18:30,Sakkari M.,0,4,4,,,,"['1', '1']","['3', '5']",[],[],[],0
12.04. 18:30,Tauson C.,2,6,6,,,,"['1', '0', '4', '3']","['1', '0', '5', '2']",[],[],[],0
11.04. 17:20,Sakkari M.,2,6,7,,,,"['2', '0', '4', '0', '6', '0']","['4', '2', '5', '5', '7', '5']",[],[],[],1.10
11.04. 17:20,Semenistaja D.,0,0,5,,,,[],"['3', '4', '5', '4']",[],[],[],6.43
WTA - SINGLES :  Billie Jean King Cup - Group I (World),-,header
