Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,482/315,176/107,240/159,26/20,29/22,11/7
2024,25/16,9/5,12/7,-,2/3,2/1
2023,38/25,5/4,26/17,3/1,4/3,-
2022,40/23,8/5,18/11,7/3,7/4,-
2021,38/20,9/4,23/13,5/2,1/1,-
2020,20/11,2/2,12/7,6/2,-,-
2019,35/24,15/5,13/10,0/4,5/4,2/1
2018,27/26,7/4,17/17,0/2,0/3,3/0
2017,26/23,5/10,15/10,-,6/3,-
2016,48/34,23/12,19/19,0/1,4/1,2/1
2015,56/28,37/22,17/3,2/3,-,-
2014,60/22,37/11,21/10,-,-,2/1
2013,29/22,8/7,21/15,-,-,-
2012,22/23,7/8,15/12,-,-,0/3
2011,18/11,4/3,11/6,3/2,-,-
2010,0/7,0/5,0/2,-,-,-
