Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,188/116,91/65,82/41,15/10,-,-
2024,42/28,26/20,10/5,6/3,-,-
2023,48/30,23/15,25/11,0/4,-,-
2022,55/28,26/18,29/10,-,-,-
2021,37/25,15/10,18/13,4/2,-,-
2020,1/1,1/1,-,-,-,-
2019,5/4,0/1,0/2,5/1,-,-
