Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
CHALLENGER MEN - SINGLES Grodzisk Mazowiecki (Poland),hard,header
04.08.,Durasovic V.,0,,,,,,3,2,52%,68% (19/28),38% (10/26),40% (2/5),19% (7/36),54% (14/26),17% (1/6),16,33,43% (3/7),54% (29/54),34% (21/62),43% (50/116),5,1,67% (6/9),10% (1/10),37% (7/19),[],[],[],[],[],0
04.08.,Pieczkowski O.,2,,,,,,4,5,58%,81% (29/36),46% (12/26),83% (5/6),32% (9/28),62% (16/26),60% (3/5),9,22,80% (4/5),66% (41/62),46% (25/54),57% (66/116),5,0,90% (9/10),33% (3/9),63% (12/19),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Tampere (Finland),clay,header
24.07.,Durasovic V.,1,,,,,,2,1,53%,64% (27/42),46% (17/37),55% (6/11),35% (19/54),46% (18/39),44% (4/9),56% (44/79),40% (37/93),47% (81/172),2,0,64% (9/14),29% (4/14),46% (13/28),[],[],[],[],[],0
24.07.,Kicker N.,2,,,,,,0,4,58%,65% (35/54),54% (21/39),56% (5/9),36% (15/42),54% (20/37),45% (5/11),60% (56/93),44% (35/79),53% (91/172),8,0,71% (10/14),36% (5/14),54% (15/28),[],[],[],[],[],0
22.07.,Durasovic V.,2,,,,,,8,9,50%,77% (44/57),50% (29/58),82% (9/11),23% (11/48),52% (32/61),36% (4/11),63% (73/115),39% (43/109),52% (116/224),9,0,88% (15/17),25% (4/16),58% (19/33),[],[],[],[],[],0
22.07.,Zahraj P.,1,,,,,,12,10,44%,77% (37/48),48% (29/61),64% (7/11),23% (13/57),50% (29/58),18% (2/11),61% (66/109),37% (42/115),48% (108/224),1,0,75% (12/16),12% (2/17),42% (14/33),[],[],[],[],[],0
ATP - SINGLES Bastad (Sweden) - Qualification,clay,header
13.07.,Durasovic V.,1,,,,,,8,1,62%,71% (51/72),60% (27/45),57% (4/7),26% (18/68),43% (15/35),67% (4/6),32,44,50% (5/10),67% (78/117),32% (33/103),50% (111/220),4,0,82% (14/17),25% (4/16),55% (18/33),[],[],[],[],[],0
13.07.,Wallin O.,2,,,,,,7,0,66%,74% (50/68),57% (20/35),33% (2/6),29% (21/72),40% (18/45),43% (3/7),37,33,89% (8/9),68% (70/103),33% (39/117),50% (109/220),6,2,75% (12/16),18% (3/17),45% (15/33),[],[],[],[],[],0
ATP - SINGLES Wimbledon (United Kingdom) - Qualification,grass,header
23.06.,Durasovic V.,1,,,,,,7,4,60%,70% (43/61),60% (24/40),80% (8/10),24% (13/54),44% (15/34),29% (2/7),28,32,42% (13/31),66% (67/101),32% (28/88),50% (95/189),4,0,87% (13/15),13% (2/15),50% (15/30),[],[],[],[],[],0
23.06.,Bonding O.,2,,,,,,12,5,61%,76% (41/54),56% (19/34),71% (5/7),30% (18/61),40% (16/40),20% (2/10),28,19,71% (34/48),68% (60/88),34% (34/101),50% (94/189),6,0,87% (13/15),13% (2/15),50% (15/30),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Poznan (Poland),clay,header
18.06.,Durasovic V.,0,,,,,,9,6,57%,64% (29/45),50% (17/34),63% (5/8),24% (10/41),30% (6/20),50% (1/2),58% (46/79),26% (16/61),44% (62/140),3,0,67% (6/9),10% (1/10),37% (7/19),[],[],[],[],[],0
18.06.,Tirante T. A.,2,,,,,,6,0,67%,76% (31/41),70% (14/20),50% (1/2),36% (16/45),50% (17/34),38% (3/8),74% (45/61),42% (33/79),56% (78/140),7,0,90% (9/10),33% (3/9),63% (12/19),[],[],[],[],[],0
17.06.,Durasovic V.,2,,,,,,9,5,56%,81% (25/31),58% (14/24),0% (0/0),35% (11/31),53% (9/17),43% (3/7),71% (39/55),42% (20/48),57% (59/103),6,0,100% (9/9),38% (3/8),71% (12/17),[],[],[],[],[],0
17.06.,Ferreira Silva F.,0,,,,,,3,3,65%,65% (20/31),47% (8/17),57% (4/7),19% (6/31),42% (10/24),0% (0/0),58% (28/48),29% (16/55),43% (44/103),4,3,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Perugia (Italy),clay,header
13.06.,Durasovic V.,0,,,,,,6,5,61%,56% (23/41),50% (13/26),81% (13/16),27% (12/44),25% (2/8),0% (0/2),54% (36/67),27% (14/52),42% (50/119),5,5,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],0
13.06.,Passaro F.,2,,,,,,1,0,85%,73% (32/44),75% (6/8),100% (2/2),44% (18/41),50% (13/26),19% (3/16),73% (38/52),46% (31/67),58% (69/119),5,0,100% (9/9),33% (3/9),67% (12/18),[],[],[],[],[],0
