Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,6/9,-,4/7,2/2,-,-
2023,1/1,-,-,1/1,-,-
2022,1/1,-,-,1/1,-,-
2017,2/1,-,2/1,-,-,-
2016,0/1,-,0/1,-,-,-
2015,2/3,-,2/3,-,-,-
2014,0/2,-,0/2,-,-,-
