Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,81/80,54/54,19/20,8/6,-,-
2024,12/10,8/5,3/3,1/2,-,-
2023,17/18,14/12,2/4,1/2,-,-
2022,19/14,6/7,9/6,4/1,-,-
2021,9/14,6/11,1/2,2/1,-,-
2020,1/3,-,1/3,-,-,-
2019,8/8,6/7,2/1,-,-,-
2018,12/9,11/8,1/1,-,-,-
2017,3/3,3/3,-,-,-,-
2016,0/1,0/1,-,-,-,-
