Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,30/27,17/21,13/6,-,-,-
2024,11/15,11/13,0/2,-,-,-
2023,15/8,2/4,13/4,-,-,-
2022,4/1,4/1,-,-,-,-
2019,0/2,0/2,-,-,-,-
2018,0/1,0/1,-,-,-,-
