Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,485/404,293/225,115/92,68/77,9/10,-
2024,12/11,4/2,8/9,-,-,-
2023,38/36,32/30,6/6,-,-,-
2022,23/25,10/14,10/6,1/4,2/1,-
2021,16/28,7/14,9/9,0/3,0/2,-
2020,20/20,8/8,7/8,5/4,-,-
2019,50/31,26/13,10/6,9/9,5/3,-
2018,39/36,20/18,11/8,6/8,2/2,-
2017,47/38,27/18,4/3,16/16,0/1,-
2016,48/37,25/18,12/6,11/12,0/1,-
2015,56/34,33/21,13/6,10/7,-,-
2014,40/33,26/20,7/5,7/8,-,-
2013,43/28,38/19,5/7,0/2,-,-
2012,28/19,18/11,7/6,3/2,-,-
2011,16/10,10/6,6/4,-,-,-
2010,9/11,9/11,-,-,-,-
2009,0/5,0/1,0/2,0/2,-,-
2008,0/2,0/1,0/1,-,-,-
