Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
07.06.,Vithoontien L.,2,,,,,,"['4', '3', '6', '3']",[],[],[],[],4.38
07.06.,Kotzen A.,1,,,,,,[],"['2', '1']",[],[],[],1.18
06.06.,Kotzen A.,2,,,,,,"['2', '0', '5', '1']",[],"['4', '2']",[],[],1.35
06.06.,Sheldon M.,1,,,,,,[],"['4', '2']",[],[],[],2.99
05.06.,Kotzen A.,2,,,,,,"['2', '1', '4', '3']","['2', '1', '4', '1', '6', '1']",[],[],[],1.59
05.06.,Magadan A.,0,,,,,,"['2', '2']",[],[],[],[],2.24
04.06.,Kotzen A.,2,,,,,,"['2', '0']","['2', '1', '5', '2']","['3', '3', '4', '4']",[],[],1.42
04.06.,Anderson O.,1,,,,,,[],"['3', '5', '5', '5']","['3', '2', '4', '3']",[],[],2.69
28.05.,Nakagawa N.,2,,,,,,5,2,47%,82% (23/28),66% (21/32),100% (3/3),32% (11/34),44% (11/25),67% (2/3),73% (44/60),37% (22/59),55% (66/119),5,0,100% (10/10),20% (2/10),60% (12/20),"['2', '1']","['2', '1']",[],[],[],2.01
28.05.,Kotzen A.,0,,,,,,1,1,58%,68% (23/34),56% (14/25),33% (1/3),18% (5/28),34% (11/32),0% (0/3),63% (37/59),27% (16/60),45% (53/119),5,1,80% (8/10),0% (0/10),40% (8/20),[],[],[],[],[],1.73
05.11.2024,Kypson P.,2,,,,,,18,3,65%,78% (43/55),73% (22/30),50% (1/2),28% (14/50),38% (18/48),25% (1/4),76% (65/85),33% (32/98),53% (97/183),6,3,93% (14/15),7% (1/15),50% (15/30),[],"['4', '2']",[],[],[],1.23
05.11.2024,Kotzen A.,1,,,,,,10,3,51%,72% (36/50),63% (30/48),75% (3/4),22% (12/55),27% (8/30),50% (1/2),67% (66/98),24% (20/85),47% (86/183),4,0,93% (14/15),7% (1/15),50% (15/30),"['2', '0']",[],[],[],[],3.90
04.11.2024,Kotzen A.,2,,,,,,9,0,63%,91% (32/35),76% (16/21),0% (0/0),17% (6/36),54% (13/24),33% (1/3),86% (48/56),32% (19/60),58% (67/116),7,0,100% (11/11),10% (1/10),57% (12/21),"['2', '0']",[],[],[],[],2.73
04.11.2024,Nakagawa N.,0,,,,,,11,3,60%,83% (30/36),46% (11/24),67% (2/3),9% (3/35),24% (5/21),0% (0/0),68% (41/60),14% (8/56),42% (49/116),3,0,90% (9/10),0% (0/11),43% (9/21),[],[],[],[],[],1.42
03.11.2024,Kotzen A.,2,,,,,,13,2,51%,85% (35/41),54% (21/39),75% (3/4),23% (14/62),55% (17/31),17% (1/6),70% (56/80),33% (31/93),50% (87/173),6,0,92% (11/12),8% (1/12),50% (12/24),"['5', '5']",[],[],[],[],2.27
03.11.2024,McHugh A.,0,,,,,,5,4,67%,77% (48/62),45% (14/31),83% (5/6),15% (6/41),46% (18/39),25% (1/4),67% (62/93),30% (24/80),50% (86/173),4,0,92% (11/12),8% (1/12),50% (12/24),"['2', '1']",[],[],[],[],1.59
09.08.2024,Kang K.,1,,,,,,[],"['2', '0', '4', '0', '6', '0']","['2', '0', '4', '0']",[],[],1.59
09.08.2024,Kotzen A.,1,,,,,,"['4', '2']",[],[],[],[],2.26
08.08.2024,Kotzen A.,2,,,,,,"['2', '2', '4', '2']","['1', '0']",[],[],[],1.63
08.08.2024,Sinha A.,0,,,,,,"['1', '0']",[],[],[],[],2.18
07.08.2024,Kotzen A.,2,,,,,,"['2', '2', '7', '5']","['2', '0', '5', '1']",[],[],[],1.23
