Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,199/123,35/27,154/80,8/12,2/4,-
2024,33/28,5/5,25/17,1/2,2/4,-
2023,55/30,26/15,26/10,3/5,-,-
2022,78/30,3/3,71/23,4/4,-,-
2021,23/22,0/2,23/19,0/1,-,-
2020,7/10,-,7/10,-,-,-
2019,2/1,-,2/1,-,-,-
2018,1/1,1/1,-,-,-,-
2017,0/1,0/1,-,-,-,-
