Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
19.02.,Boogaard T.,2,,,,,,[],"['6', '4']","['2', '0', '4', '0', '6', '0']",[],[],1.43
19.02.,Gramaticopolo B.,1,,,,,,"['6', '5']",[],[],[],[],2.66
29.10.2024,Paldanius O.,2,,,,,,"['4', '5']","['2', '0', '5', '1']",[],[],[],1.29
29.10.2024,Gramaticopolo B.,0,,,,,,"['2', '0']",[],[],[],[],3.32
09.08.2023,Miceli M.,2,,,,,,"['1', '2', '2', '3', '3', '4', '5', '4']","['3', '2', '6', '3']",[],[],[],1.26
09.08.2023,Gramaticopolo B.,0,,,,,,"['2', '0', '3', '1', '4', '2']",[],[],[],[],3.72
08.08.2023,Gramaticopolo B.,2,,,,,,"['3', '1', '6', '4']","['5', '3']",[],[],[],3.96
08.08.2023,Bolla A.,0,,,,,,"['3', '4']",[],[],[],[],1.23
02.05.2023,Compagnucci T.,2,,,,,,"['2', '1', '3', '2', '5', '2']","['2', '1', '4', '3', '6', '3']",[],[],[],1.14
02.05.2023,Gramaticopolo B.,0,,,,,,"['2', '2']","['2', '2']",[],[],[],5.15
29.03.2023,Pecci A.,2,,,,,,"['4', '4', '6', '4']","['5', '5']","['1', '0', '4', '1', '6', '1']",[],[],1.42
29.03.2023,Gramaticopolo B.,1,,,,,,"['2', '1']","['1', '0']",[],[],[],2.70
31.10.2022,Speziali F.,2,,,,,,[],"['1', '0', '6', '3']","['2', '2']",[],[],1.20
31.10.2022,Gramaticopolo B.,1,,,,,,[],[],"['1', '0']",[],[],4.26
11.05.2022,De Rossi M.,2,,,,,,"['1', '2']","['2', '1', '5', '2']","['2', '1', '5', '4']",[],[],1.89
11.05.2022,Gramaticopolo B.,1,,,,,,"['2', '0', '6', '4']",[],"['2', '2']",[],[],1.87
04.05.2022,Pinnington Jones J.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0', '3', '0']",[],[],[],1.04
04.05.2022,Gramaticopolo B.,0,,,,,,[],[],[],[],[],10.50
03.05.2022,Gramaticopolo B.,2,,,,,,"['6', '4']","['4', '2', '6', '2']",[],[],[],3.18
03.05.2022,Compagnucci T.,0,,,,,,[],[],[],[],[],1.34
30.03.2022,Gima S.,2,,,,,,[],[],[],[],[],-
30.03.2022,Gramaticopolo B.,0,,,,,,[],[],[],[],[],-
18.08.2021,Ingarao A.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['3', '4', '4', '5', '6', '5']",[],[],[],1.15
18.08.2021,Gramaticopolo B.,0,,,,,,[],"['4', '2', '5', '3']",[],[],[],5.15
20.06.2020,Potenza L.,2,,,,,,"['1', '0', '3', '0']","['1', '2', '5', '4']",[],[],[],-
20.06.2020,Gramaticopolo B.,0,,,,,,[],"['2', '0']",[],[],[],-
25.01.2020,Fery A.,2,,,,,,"['3', '2', '5', '2']","['2', '1']",[],[],[],-
25.01.2020,Gramaticopolo B.,0,,,,,,[],[],[],[],[],-
