Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,191/135,167/116,21/17,-,1/2,2/0
2024,25/22,25/22,-,-,-,-
2023,20/25,18/22,1/3,-,-,1/0
2022,29/29,27/24,1/3,-,1/2,-
2021,72/29,71/29,-,-,-,1/0
2020,17/9,4/2,13/7,-,-,-
2019,10/12,4/8,6/4,-,-,-
2018,15/6,15/6,-,-,-,-
2017,3/3,3/3,-,-,-,-
