Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
18.06.,Gadecki T. N.,2,,,,,,"['2', '0', '6', '2']","['2', '0', '3', '1']","['1', '0']",[],[],2.50
18.06.,Swenson B.,1,,,,,,[],"['1', '2', '2', '3', '4', '3', '6', '3']",[],[],[],1.48
11.06.,Chung H.,2,,,,,,"['3', '1']","['1', '0', '3', '0', '5', '2']",[],[],[],1.11
11.06.,Swenson B.,0,,,,,,[],"['1', '3']",[],[],[],5.45
03.10.2024,Ponwith N.,2,,,,,,"['3', '5']","['4', '2']","['1', '0', '2', '1', '4', '5']",[],[],1.83
03.10.2024,Swenson B.,1,,,,,,"['2', '1', '5', '2']",[],"['1', '1', '2', '2', '5', '3']",[],[],1.87
02.10.2024,Swenson B.,2,,,,,,"['1', '0', '4', '1']","['3', '2', '5', '2']",[],[],[],3.62
02.10.2024,Baadi T.,0,,,,,,[],[],[],[],[],1.25
16.11.2023,Azkara A.,2,,,,,,"['3', '4']","['1', '0', '4', '1']","['2', '1', '5', '4']",[],[],1.46
16.11.2023,Swenson B.,1,,,,,,"['2', '0', '6', '4']",[],"['3', '3']",[],[],2.57
15.11.2023,Swenson B.,2,,,,,,"['2', '0', '5', '3']","['1', '0', '3', '0', '4', '1', '5', '2']",[],[],[],3.42
15.11.2023,Corwin F.,0,,,,,,"['3', '4']","['1', '3', '2', '4']",[],[],[],1.28
16.11.2022,Michelsen A.,2,,,,,,"['2', '2', '4', '2', '5', '3']","['1', '0', '3', '0', '4', '1', '6', '1']",[],[],[],1.17
16.11.2022,Swenson B.,0,,,,,,"['1', '0', '3', '4']","['1', '3']",[],[],[],4.70
04.08.2022,Johns G.,2,,,,,,[],"['1', '0', '3', '0', '4', '1']",[],[],[],1.39
04.08.2022,Swenson B.,0,,,,,,[],"['1', '3']",[],[],[],2.86
03.08.2022,Boitan G. A.,1,,,,,,"['5', '3']","['1', '0']",[],[],[],1.26
03.08.2022,Swenson B.,1,,,,,,[],"['4', '4', '6', '4']",[],[],[],3.60
13.07.2022,Anthrop J.,2,,,,,,"['2', '0', '4', '0', '6', '2']","['3', '1', '5', '1']",[],[],[],3.09
13.07.2022,Swenson B.,0,,,,,,"['1', '4']",[],[],[],[],1.36
07.07.2022,Bangoura S.,2,,,,,,"['4', '3']","['1', '2', '5', '4']",[],[],[],1.31
07.07.2022,Swenson B.,0,,,,,,[],"['2', '0']",[],[],[],3.38
06.07.2022,Swenson B.,2,,,,,,"['3', '3', '5', '3']","['1', '0', '4', '1', '6', '1']",[],[],[],2.03
06.07.2022,Boyd K. L.,0,,,,,,"['1', '0']",[],[],[],[],1.75
04.06.2022,Brymer G.,2,,,,,,"['1', '2', '3', '2', '6', '3']","['2', '2', '7', '5']",[],[],[],-
04.06.2022,Swenson B.,0,,,,,,"['2', '0']","['2', '1']",[],[],[],-
03.06.2022,Swenson B.,2,,,,,,"['2', '1', '4', '1']",[],"['3', '1']",[],[],-
03.06.2022,Cozbinov A.,1,,,,,,[],"['2', '0', '5', '1']","['4', '5']",[],[],-
02.06.2022,Swenson B.,2,,,,,,"['2', '1', '4', '3']","['1', '0', '5', '4']",[],[],[],-
02.06.2022,Boitan G. A.,0,,,,,,"['3', '3']","['2', '2']",[],[],[],-
01.06.2022,Swenson B.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['2', '0', '4', '0', '6', '0']",[],[],[],-
01.06.2022,Shabaz M.,0,,,,,,[],[],[],[],[],-
