Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,54/30,2/3,20/14,3/2,-,29/11
2024,6/3,-,2/2,-,-,4/1
2023,4/3,-,1/2,3/1,-,-
2022,35/19,1/2,9/6,0/1,-,25/10
2021,9/5,1/1,8/4,-,-,-
